"EXIOBASE_sector","EXIOBASE_sector_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC"
"Meat products nec",46,"Hides and skins",2748,"c120","C"
"products of Vegetable oils and fats",47,"Soyabean Oil",2571,"c068","C"
"products of Vegetable oils and fats",47,"Groundnut Oil",2572,"c069","C"
"products of Vegetable oils and fats",47,"Sunflowerseed Oil",2573,"c070","C"
"products of Vegetable oils and fats",47,"Rape and Mustard Oil",2574,"c071","C"
"products of Vegetable oils and fats",47,"Cottonseed Oil",2575,"c072","C"
"products of Vegetable oils and fats",47,"Palmkernel Oil",2576,"c073","C"
"products of Vegetable oils and fats",47,"Palm Oil",2577,"c074","C"
"products of Vegetable oils and fats",47,"Coconut Oil",2578,"c075","C"
"products of Vegetable oils and fats",47,"Sesameseed Oil",2579,"c076","C"
"products of Vegetable oils and fats",47,"Olive Oil",2580,"c077","C"
"products of Vegetable oils and fats",47,"Ricebran Oil",2581,"c078","C"
"products of Vegetable oils and fats",47,"Maize Germ Oil",2582,"c079","C"
"products of Vegetable oils and fats",47,"Oilcrops Oil, Other",2586,"c080","C"
"products of Vegetable oils and fats",47,"Soyabean Cake",2590,"c081","C"
"products of Vegetable oils and fats",47,"Groundnut Cake",2591,"c082","C"
"products of Vegetable oils and fats",47,"Sunflowerseed Cake",2592,"c083","C"
"products of Vegetable oils and fats",47,"Rape and Mustard Cake",2593,"c084","C"
"products of Vegetable oils and fats",47,"Cottonseed Cake",2594,"c085","C"
"products of Vegetable oils and fats",47,"Palmkernel Cake",2595,"c086","C"
"products of Vegetable oils and fats",47,"Copra Cake",2596,"c087","C"
"products of Vegetable oils and fats",47,"Sesameseed Cake",2597,"c088","C"
"products of Vegetable oils and fats",47,"Oilseed Cakes, Other",2598,"c089","C"
"Dairy products",48,"Butter, Ghee",2740,"c110","C"
"Dairy products",48,"Milk - Excluding Butter",2848,"c109","C"
"Processed rice",49,"Rice and products",2807,"c001","C"
"Sugar",50,"Sugar non-centrifugal",2541,"c065","C"
"Sugar",50,"Sugar (Raw Equivalent)",2542,"c066","C"
"Sugar",50,"Sweeteners, Other",2543,"c067","C"
"Food products nec",51,"Wheat and products",2511,"c002","C"
"Food products nec",51,"Maize and products",2514,"c004","C"
"Food products nec",51,"Barley and products",2513,"c003","C"
"Food products nec",51,"Rye and products",2515,"c005","C"
"Food products nec",51,"Oats",2516,"c006","C"
"Food products nec",51,"Millet and products",2517,"c007","C"
"Food products nec",51,"Sorghum and products",2518,"c008","C"
"Food products nec",51,"Cereals, Other",2520,"c009","C"
"Food products nec",51,"Pulses, Other and products",2549,"c019","C"
"Food products nec",51,"Potatoes and products",2531,"c010","C"
"Food products nec",51,"Cassava and products",2532,"c011","C"
"Food products nec",51,"Sweet potatoes",2533,"c012","C"
"Food products nec",51,"Roots, Other",2534,"c013","C"
"Food products nec",51,"Tomatoes and products",2601,"c031","C"
"Food products nec",51,"Onions",2602,"c032","C"
"Food products nec",51,"Vegetables, Other",2605,"c033","C"
"Food products nec",51,"Yams",2535,"c014","C"
"Food products nec",51,"Grapes and products (excl wine)",2620,"c043","C"
"Food products nec",51,"Nuts and products",2551,"c020","C"
"Food products nec",51,"Oranges, Mandarines",2611,"c034","C"
"Food products nec",51,"Lemons, Limes and products",2612,"c035","C"
"Food products nec",51,"Grapefruit and products",2613,"c036","C"
"Food products nec",51,"Citrus, Other",2614,"c037","C"
"Food products nec",51,"Apples and products",2617,"c040","C"
"Food products nec",51,"Pineapples and products",2618,"c041","C"
"Food products nec",51,"Coconuts - Incl Copra",2560,"c026","C"
"Food products nec",51,"Fruits, Other",2625,"c044","C"
"Food products nec",51,"Coffee and products",2630,"c045","C"
"Food products nec",51,"Tea (including mate)",2635,"c047","C"
"Food products nec",51,"Spices, Other",2645,"c052","C"
"Food products nec",51,"Cocoa Beans and products",2633,"c046","C"
"Beverages",52,"Wine",2655,"c090","C"
"Beverages",52,"Beer",2656,"c091","C"
"Beverages",52,"Beverages, Fermented",2657,"c092","C"
"Beverages",52,"Beverages, Alcoholic",2658,"c093","C"
"Fish products",53,"Fish, Seafood",2960,"c123","C"
"Tobacco products (16)",54,"Tobacco",2671,"c059","C"
"Textiles (17)",55,"Silk",2747,"c122","C"
