"JPN_IOT2011_item","JPN_IOT2011_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Barber shops","673102",,,,,
"Beauty shops","673103",,,,,
"Public baths","673104",,,,,
"Miscellaneous cleaning, barber shops, beauty shops and public baths","673109",,,,,
"Movie theaters","674101",,,,,
"Performances (except movie theaters), theatrical comranies","674102",,,,,
"Stadiums and companies of bicycle, horse, motorcar and motorboat races","674103",,,,,
"Sport facility service, public gardens and amusement parks","674104",,,,,
"Amusement and recreation facilities","674105",,,,,
"Miscellaneous amusement and recreation services","674109",,,,,
"Photographic studios","679901",,,,,
"Ceremonial occasions","679902",,,,,
"Supplementary tutorial schools, instruction services for arts, culture and technical skills","679903",,,,,
"Miscellaneous repairs, n.e.c.","679904",,,,,
"Miscellaneous personal services","679909",,,,,
"Office supplies","681100P",,,,,
"Activities not elsewhere classified","691100",,,,,
,,"Grazing",2001,"c062",,"Non-allocated: grazing simplified as an ecosystem service"
,,"Cottonseed",2559,"c063",,
,,"Palm kernels",2562,"c064",,
,,"Cotton lint",2661,"c095",,
,,"Alcohol, Non-Food",2659,"c094",,"Non-allocated: no separate JPN IOT sector (cf. 204909 miscellaneous industrial organic chemicals)"
