"JPN_IOT2015_item","JPN_IOT2015_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Miscellaneous amusement and recreation services","674109",,,,,
"Photographic studios","679901",,,,,
"Ceremonial occasions","679902",,,,,
"Supplementary tutorial schools, instruction services for arts, culture and technical skills","679903",,,,,
"Miscellaneous repairs, n.e.c.","679904",,,,,
"Miscellaneous personal services","679909",,,,,
"Office supplies","681100P",,,,,
"Activities not elsewhere classified","691100",,,,,
,,"Grazing",2001,"c062",,"Non-allocated: grazing simplified as an ecosystem service"
,,"Cottonseed",2559,"c063",,"Non-allocated: no Japanese cotton production"
,,"Palm kernels",2562,"c064",,"Non-allocated: no Japanese oil palm production"
,,"Cotton lint",2661,"c095",,"Non-allocated: no Japanese cotton production"
,,"Alcohol, Non-Food",2659,"c094",,"Non-allocated: no separate JPN IOT sector (cf. 204909 miscellaneous industrial organic chemicals)"
