"CAN_SUT_item","CAN_SUT_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Fabrics","MPG31A002",,,,,
"Carpets and rugs","MPG31A003",,,,,
"Other textile furnishings","MPG31A004",,,,,
"Other textile products","MPG31A005",,,,,
"Textile and fabric finishing and coating services","MPS31A006",,,,,
"Men's and women's clothing","MPG31B001",,,,,
"Infant and baby clothing","MPG31B002",,,,,
"Clothing accessories","MPG31B003",,,,,
"Leather and dressed furs","MPG31B004",,,,,
"Footwear","MPG31B005",,,,,
"Suitcases, handbags and other leather and allied products","MPG31B006",,,,,
"Hardwood lumber","MPG321101",,,,,
"Softwood lumber","MPG321102",,,,,
"Wood chips","MPG321103",,,,,
"Other sawmill and treated wood products","MPG321104",,,,,
"Veneer and plywood","MPG321201",,,,,
"Engineered wood members and trusses","MPG321202",,,,,
"Reconstituted wood products","MPG321203",,,,,
"Wood windows and doors","MPG321901",,,,,
"Other wood millwork products","MPG321902",,,,,
"Wood containers and pallets","MPG321903",,,,,
"Prefabricated wood buildings, components and other miscellaneous wood products","MPG321909",,,,,
"Waste and scrap of wood, wood by-products","MPG321X00",,,,,
"Wood pulp","MPG322101",,,,,
"Paper (except newsprint)","MPG322102",,,,,
"Newsprint","MPG322103",,,,,
"Paperboard","MPG322104",,,,,
"Paperboard containers","MPG322201",,,,,
"Paper stationery products","MPG322202",,,,,
"Disposable diapers and feminine hygiene products","MPG322203",,,,,
"Sanitary paper products","MPG322204",,,,,
"Other converted paper products","MPG322209",,,,,
"Waste and scrap of paper and paperboard","MPG322X00",,,,,
"Printed products","MPG323001",,,,,
"Support services for printing","MPS323002",,,,,
"Contract printing services for publishers","MPS323003",,,,,
"Gasoline","ENE324111",,,,,
"Diesel fuel","ENE324112",,,,,
"Light fuel oils","ENE324113",,,,,
"Jet fuel","ENE324114",,,,,
"Heavy fuel oils","ENE324115",,,,,
"Lubricants and other petroleum refinery products","MPG324116",,,,,
"Asphalt and asphalt products","MPG3241A1",,,,,
"Coke and other coke oven products","ENE3241A2",,,,,
"Other petroleum and coal products","MPG3241A9",,,,,
"Petrochemicals","MPG325101",,,,,
"Industrial gases","MPG325102",,,,,
"Dyes and pigments","MPG325103",,,,,
"Other basic inorganic chemicals","MPG325104",,,,,
"Other basic organic chemicals","MPG325105",,,,,
"Plastic resins","MPG325201",,,,,
"Rubber and rubber compounds and mixtures","MPG325202",,,,,
"Artificial and synthetic fibres and filaments","MPG325203",,,,,
"Ammonia and chemical fertilizer","MPG325301",,,,,
"Pesticide and other agricultural chemicals","MPG325302",,,,,
"Pharmaceutical and medicinal products","MPG325400",,,,,
"Paints, coatings and adhesive products","MPG325500",,,,,
"Soaps and cleaning compounds","MPG325601",,,,,
"Toiletries preparations","MPG325602",,,,,
"Chemical products not elsewhere classified","MPG325900",,,,,
"Plastic bags","MPG326101",,,,,
"Plastic films and non-rigid sheets","MPG326102",,,,,
"Plastic building and construction materials","MPG326103",,,,,
"Plastic profile shapes","MPG326104",,,,,
"Foam products (except for construction)","MPG326105",,,,,
"Plastic bottles","MPG326106",,,,,
"Motor vehicle plastic parts","MPG326107",,,,,
"Plastic products, not elsewhere classified","MPG326109",,,,,
"Tires","MPG326201",,,,,
"Rubber and plastic hoses and belts","MPG326202",,,,,
"Rubber products, not elsewhere classified","MPG326209",,,,,
"Waste and scrap of plastic and rubber","MPG326X00",,,,,
"Cement","MPG327301",,,,,
"Ready-mixed concrete","MPG327302",,,,,
"Concrete products","MPG327303",,,,,
"Clay products and refractories","MPG327A01",,,,,
"Glass and glass products","MPG327A02",,,,,
"Waste and scrap of glass","MPG327A03",,,,,
"Lime and gypsum products","MPG327A04",,,,,
"Non-metallic mineral products, not elsewhere classified","MPG327A09",,,,,
"Iron and steel basic shapes and ferro-alloy products","MPG331100",,,,,
"Iron and steel pipes and tubes (except castings)","MPG331201",,,,,
"Rolled and drawn steel products including wire","MPG331202",,,,,
"Bauxite and aluminum oxide","MPG331301",,,,,
"Aluminum and aluminum-alloy ingots and billets","MPG331302",,,,,
"Aluminum and aluminum-alloy semi-finished products","MPG331303",,,,,
"Refined copper and copper alloys","MPG331401",,,,,
"Refined nickel and nickel alloys","MPG331402",,,,,
"Refined precious metals and precious metals alloys","MPG331403",,,,,
"Other refined non-ferrous metals and non-ferrous metal alloys","MPG331404",,,,,
"Gold, store of value","MPG331405",,,,,
"Basic non-ferrous metal products (except aluminum)","MPG331406",,,,,
"Ferrous metal castings","MPG331501",,,,,
"Non-ferrous metal castings","MPG331502",,,,,
"Waste and scrap of iron and steel","MPG331X01",,,,,
"Waste and scrap of non-ferrous metals","MPG331X02",,,,,
"Forged and stamped metal products","MPG332100",,,,,
"Prefabricated metal building and components","MPG332301",,,,,
"Fabricated steel plates and other fabricated structural metal","MPG332302",,,,,
"Metal windows and doors","MPG332303",,,,,
"Other ornamental and architectural metal products","MPG332309",,,,,
"Light gauge metal containers, crowns and closures","MPG332401",,,,,
"Boilers, tanks and heavy gauge metal containers","MPG332402",,,,,
"Hardware","MPG332500",,,,,
"Springs and wire products","MPG332600",,,,,
"Threaded metal fasteners and other turned metal products","MPG332700",,,,,
"Coating, engraving, heat treating and similar metal processing services","MPS332800",,,,,
"Hand tools and cutlery (except precious metal)","MPG332A01",,,,,
"Metal valves and pipe fittings","MPG332A02",,,,,
"Ball and roller bearings","MPG332A03",,,,,
"Guns, ammunition and ordnance","MPG332A04",,,,,
"Fabricated metal products, not elsewhere classified","MPG332A09",,,,,
"Agricultural, lawn and garden machinery and equipment","MPG333101",,,,,
"Logging, mining and construction machinery and equipment","MPG333102",,,,,
"Other industry-specific machinery","MPG333200",,,,,
"Commercial and service industry machinery","MPG333300",,,,,
"Industrial and commercial fans and blowers, and air purification equipment","MPG333401",,,,,
"Heating and cooling equipment (except household refrigerators and freezers)","MPG333402",,,,,
"Metalworking machinery","MPG333500",,,,,
"Turbines and turbine generator set units","MPG333601",,,,,
"Other engine and power transmission equipment","MPG333609",,,,,
"Pumps and compressors","MPG333901",,,,,
"Material handling equipment","MPG333902",,,,,
"Other miscellaneous general-purpose machinery","MPG333909",,,,,
"Parts of computers and computer peripheral (except printed circuit assemblies)","MPG334101",,,,,
"Computers and computer peripheral equipment","MPG334102",,,,,
"Telephone apparatus","MPG334201",,,,,
"Other communications equipment","MPG334209",,,,,
"Televisions and other audio and video equipment","MPG334A01",,,,,
"Navigational and guidance instruments","MPG334A02",,,,,
"Measuring, medical and controlling devices","MPG334A03",,,,,
"Unrecorded magnetic and optical recording media","MPG334A04",,,,,
"Printed and integrated circuits, semiconductors and printed circuit assemblies","MPG334401",,,,,
"Other electronic components","MPG334409",,,,,
"Electric lamp bulbs and tubes","MPG335101",,,,,
"Lighting fixtures","MPG335102",,,,,
"Small electric appliances","MPG335201",,,,,
"Major appliances","MPG335202",,,,,
"Transformers","MPG335301",,,,,
"Electric motors and generators","MPG335302",,,,,
"Switchgear, switchboard, relays and industrial control apparatus","MPG335303",,,,,
"Batteries","MPG335901",,,,,
"Communication and energy wire and cable","MPG335902",,,,,
"Wiring devices","MPG335903",,,,,
"Other electrical equipment and components","MPG335909",,,,,
"Passenger cars","MPG336111",,,,,
"Light-duty trucks, vans and sport utility vehicles","MPG336112",,,,,
"Medium and heavy-duty trucks and chassis","MPG336120",,,,,
"Buses","MPG336201",,,,,
"Motor vehicle bodies and special purpose motor vehicles","MPG336202",,,,,
"Freight and utility trailers","MPG336203",,,,,
"Motor homes, travel trailers and campers","MPG336204",,,,,
"Motor vehicle gasoline engines and their parts","MPG336310",,,,,
"Motor vehicle electrical and electronic equipment","MPG336320",,,,,
"Motor vehicle steering and suspension components (except springs)","MPG336330",,,,,
"Motor vehicle brakes and brake systems","MPG336340",,,,,
"Motor vehicle transmission and power train parts","MPG336350",,,,,
"Vehicle seats, seat parts and interior trim for motor vehicles","MPG336360",,,,,
"Motor vehicle metal stamping","MPG336370",,,,,
"Other motor vehicle parts","MPG336390",,,,,
"Aircraft","MPG336401",,,,,
"Aircraft engines","MPG336402",,,,,
"Aircraft parts and equipment","MPG336403",,,,,
"Railroad rolling stocks","MPG336501",,,,,
"Parts for railroad rolling stocks","MPG336502",,,,,
"Ships","MPG336601",,,,,
"Boats","MPG336602",,,,,
"Other transportation equipment and related parts","MPG336900",,,,,
"Wood kitchen cabinets and counter tops","MPG337101",,,,,
"Household furniture","MPG337102",,,,,
"Institutional furniture","MPG337103",,,,,
"Office furniture","MPG337201",,,,,
"Office and store fixtures","MPG337202",,,,,
"Mattresses and foundations","MPG337901",,,,,
"Blinds and shades","MPG337902",,,,,
"Medical, dental and personal safety supplies, instruments and equipment","MPG339100",,,,,
"Jewellery and silverware","MPG339901",,,,,
"Sporting and athletic goods","MPG339902",,,,,
"Toys and games","MPG339903",,,,,
"Other stationery supplies","MPG339904",,,,,
"Signs","MPG339905",,,,,
"Other miscellaneous goods","MPG339909",,,,,
"Custom work, other manufacturing production services","MPS3X0000",,,,,
"Wholesale margins","MPS410001",,,,,
"Wholesale trade commissions","MPS410002",,,,,
"Retail margins","MPS4A0001",,,,,
"Used motor vehicles","MPS4A0002",,,,,
"Other used consumer goods","MPS4A0003",,,,,
"Retail trade commissions","MPS4A0004",,,,,
"Air passenger transportation services","MPS481001",,,,,
"Air freight transportation services","MPS481002",,,,,
"Air specialty services","MPS481003",,,,,
"Rail passenger transportation services","MPS482001",,,,,
"Rail freight transportation services","MPS482002",,,,,
"Water passenger transportation services","MPS483001",,,,,
"Water freight transportation services","MPS483002",,,,,
"Moving services (used goods)","MPS484001",,,,,
"General freight truck transportation services","MPS484002",,,,,
"Specialized freight truck transportation services","MPS484003",,,,,
"Urban transit services","MPS485100",,,,,
"Interurban and rural bus passenger transportation services","MPS48A001",,,,,
"School bus service","MPS48A002",,,,,
"Other transit and ground passenger transportation services","MPS48A003",,,,,
"Scenic and sightseeing tour services","MPS48A004",,,,,
"Taxi and limousine services","MPS485300",,,,,
"Transportation of natural gas by pipeline","MPS486200",,,,,
"Transportation of crude oil and other commodities by pipeline","MPS486A00",,,,,
"Air transportation support services","MPS488001",,,,,
"Aircraft maintenance and repair services","MPS488002",,,,,
"Rail transportation support, maintenance and repair services","MPS488003",,,,,
"Water transportation support, maintenance and repair services","MPS488004",,,,,
"Road transportation support services","MPS488005",,,,,
"Freight transportation arrangement and customs brokering services","MPS488006",,,,,
"Other transportation support services","MPS488009",,,,,
"Postal services","MPS491000",,,,,
"Courier, parcels, and local messenger and delivery services","MPS492000",,,,,
"Grain storage","MPS493001",,,,,
"Warehousing and storage services (except grain storage)","MPS493002",,,,,
"Newspapers, print and electronic","MPG511111",,,,,
"Advertising space in newspapers","MPS511112",,,,,
"Periodicals, print and electronic","MPG5111A1",,,,,
"Books, print and electronic","MPG5111A2",,,,,
"Other published products","MPG5111A3",,,,,
"Advertising space in periodicals and other published printed products","MPS5111A4",,,,,
"Licensing fees to distribute or reproduce published products, print and electronic","MPS5111X0",,,,,
"General purpose software","MPS511200",,,,,
"Movies, television programs and videos","MPS5121A1",,,,,
"Motion picture and video production and related services","MPS5121A2",,,,,
"Licensing fees to distribute or reproduce motion pictures and videos","MPS5121A3",,,,,
"Admissions to motion picture film exhibitions","MPS512130",,,,,
"Music and audio works","MPS512201",,,,,
"Studio and audio recording services","MPS512202",,,,,
"Licensing fees to distribute or reproduce music and audio works","MPS512203",,,,,
"Advertising air time on radio","MPS515100",,,,,
"Advertising air time on television","MPS515A01",,,,,
"Fees for the distribution of television and radio program channels","MPS515A02",,,,,
"Wired telephone services","MPS517001",,,,,
"Wireless telephone services","MPS517002",,,,,
"Cable, satellite and other program distribution services","MPS517003",,,,,
"Internet access services","MPS517004",,,,,
"Data processing, hosting, and related services","MPS518000",,,,,
"Subscriptions to Internet sites and contents","MPS519001",,,,,
"Advertising space on the Internet","MPS519002",,,,,
"Other information services","MPS519009",,,,,
"Central banking services","MPS521000",,,,,
"Local credit union services - explicit charges (fees)","MPS522130",,,,,
"Banking and other depository credit intermediation services - explicit charges","MPS5221A0",,,,,
"Non-depository credit intermediation services - explicit charges (fees)","MPS522200",,,,,
"Other services related to credit intermediation","MPS522300",,,,,
"Investment banking services","MPS523001",,,,,
"Security brokerage and securities dealing services","MPS523002",,,,,
"Portfolio management services","MPS523003",,,,,
"Investment counselling services","MPS523004",,,,,
"Holding company services and other financial investment and related activities","MPS523009",,,,,
"Life insurance services","MPS524101",,,,,
"Accident and sickness insurance services","MPS524102",,,,,
"Automotive insurance services","MPS524103",,,,,
"Property insurance services","MPS524104",,,,,
"Liability and other property and casualty insurance services","MPS524105",,,,,
"Brokerage and other insurance related services","MPS524200",,,,,
"Trusteed pension fund services","MPS526111",,,,,
"Mutual funds (cost of service) and other similar services","MPS526A00",,,,,
"Deposit intermediation services indirectly measured (FISIM)","MPS52X001",,,,,
"Residential mortgage intermediation services indirectly measured (FISIM)","MPS52X002",,,,,
"Other loan intermediation services indirectly measured (FISIM)","MPS52X003",,,,,
"Rental of residential real estate","MPS531101",,,,,
"Rental of non-residential real estate","MPS531102",,,,,
"Imputed rental of owner-occupied dwellings","IMS5311A0",,,,,
"Services related to real estate","MPS531A00",,,,,
"Motor vehicle rental and leasing services","MPS532100",,,,,
"Computer equipment rental and leasing services","MPS532A01",,,,,
"Office machinery and equipment rental and leasing services (except computer equipment)","MPS532A02",,,,,
"Commercial and industrial machinery and equipment renting and leasing services","MPS532A03",,,,,
"Other goods rental and leasing services","MPS532A09",,,,,
"Rights to non-financial intangible assets","MPS533000",,,,,
"Legal services","MPS541100",,,,,
"Accounting and related services","MPS541200",,,,,
"Architectural, engineering and related services","MPS541300",,,,,
"Specialized design services","MPS541400",,,,,
"Custom software design and development services","MPS541501",,,,,
"Own-account software design and development services","IMS541502",,,,,
"Computer systems design and related services (except software development)","MPS541503",,,,,
"Management, scientific and technical consulting services","MPS541600",,,,,
"Research and development services","MPS541701",,,,,
"Own-account research and development (except software development)","IMS541702",,,,,
"Advertising, public relations and related services","MPS541800",,,,,
"Photographic services","MPS541901",,,,,
"Veterinary services","MPS541902",,,,,
"Other professional, scientific and technical services","MPS541909",,,,,
"Holding company services (imputed)","IMS551001",,,,,
"Head office services (imputed)","IMS551002",,,,,
"Office administrative services","MPS561100",,,,,
"Employment services","MPS561300",,,,,
"Business support services","MPS561400",,,,,
"Travel arrangement and reservation services","MPS561500",,,,,
"Investigation and security services","MPS561600",,,,,
"Services to buildings and dwellings","MPS561700",,,,,
"Facilities and other support services","MPS561A00",,,,,
"Waste management and remediation services","MPS562000",,,,,
"Tuition and similar fees for elementary and secondary schools","MPS610001",,,,,
"Tuition and similar fees for colleges and C.E.G.E.P.s","MPS610002",,,,,
"Tuition and similar fees for universities","MPS610003",,,,,
"Tuition and similar fees for trade, technical and professional training","MPS610004",,,,,
"Other educational training and services","MPS610009",,,,,
"Physician services","MPS621100",,,,,
"Dental services","MPS621200",,,,,
"Other health practitioner services","MPS621A01",,,,,
"Medical and diagnostic laboratory services","MPS621A02",,,,,
"Ambulance services","MPS621A03",,,,,
"Hospital services (fees)","MPS622000",,,,,
"Nursing and residential care services","MPS623000",,,,,
"Child day-care services","MPS624001",,,,,
"Other ambulatory health care services and social assistance services","MPS62A000",,,,,
"Admissions to live sporting events","MPS71A001",,,,,
"Admissions to live performing arts performances","MPS71A002",,,,,
"Sport and performing arts event organization services","MPS71A003",,,,,
"Career management and representation services of public figures","MPS71A004",,,,,
"Contract production of live performances, events and copyrighted works","MPS71A005",,,,,
"Licensing of rights to use copyrighted works and media rights","MPS71A006",,,,,
"Technical artistic services","MPS71A007",,,,,
"Heritage institution services","MPS71A008",,,,,
"Amusement and recreation services","MPS713A00",,,,,
"Gambling (net wagers)","MPS713200",,,,,
"Room or unit accommodation services for travellers","MPS721100",,,,,
"Recreational vehicle parks and recreational camp services","MPS721A01",,,,,
"Rooming and boarding services","MPS721A02",,,,,
"Prepared meals","MPS722001",,,,,
"Alcoholic beverages for immediate consumption","MPS722002",,,,,
"Motor vehicle repair and maintenance services","MPS811100",,,,,
"Other repair and maintenance services","MPS811A00",,,,,
"Funeral services","MPS812200",,,,,
"Laundry and dry-cleaning services","MPS812300",,,,,
"Hair care and esthetic services","MPS812A01",,,,,
"Parking services","MPS812A02",,,,,
"Other personal and personal care services","MPS812A09",,,,,
"Other membership services","MPS813000",,,,,
"Babysitting services","MPS814001",,,,,
"Private household services (except babysitting)","MPS814002",,,,,
"Sales of other services by Non-Profit Institutions Serving Households","MPS9A0000",,,,,
"Sales of other government services","MPS9B0000",,,,,
"Repair and maintenance","FIC110000",,,,,
"Operating supplies","FIC120000",,,,,
"Office supplies","FIC130000",,,,,
"Advertising, promotion, meals and entertainment","FIC210000",,,,,
"Travel, meetings and conventions","FIC220000",,,,,
"Transportation margins","FIC300000",,,,,
"Educational services provided by Non-Profit Institutions Serving Households","NNP610000",,,,,
"Ambulatory health care services provided by Non-Profit Institutions Serving Households","NNP621000",,,,,
"Social assistance services provided by Non-Profit Institutions Serving Households","NNP624000",,,,,
"Arts, entertainment and recreation services provided by Non-Profit Institutions Serving Households","NNP710000",,,,,
"Religious services","NNP813100",,,,,
"Grant-making, civic, and professional and similar organization services","NNP813A01",,,,,
"Labour organization membership services","NNP813930",,,,,
"Political organization services","NNP813940",,,,,
"Other services provided by Non-Profit Institutions Serving Households","NNP999999",,,,,
"Elementary and secondary school services provided by governments","NGS611100",,,,,
"Community college and C.E.G.E.P services provided by governments","NGS611200",,,,,
"University services provided by governments","NGS611300",,,,,
"Other educational services provided by governments","NGS611A00",,,,,
"Hospital services provided by governments","NGS622000",,,,,
"Residential care facility services provided by governments","NGS623000",,,,,
"Defence services","NGS911100",,,,,
"Other federal government services","NGS911A00",,,,,
"Other provincial and territorial government services","NGS912000",,,,,
"Other municipal government services","NGS913000",,,,,
"Other aboriginal government services","NGS914000",,,,,
,,"Grazing",2001,"c062",,"Non-allocated: grazing simplified as an ecosystem service"
,,"Cottonseed",2559,"c063",,"Non-allocated: no VA assigned to avoid double counting"
,,"Palm kernels",2562,"c064",,"Non-allocated: no VA assigned to avoid double counting"
,,"Cotton lint",2661,"c095",,"Non-allocated: no VA assigned to avoid double counting"
,,"Alcohol, Non-Food",2659,"c094",,
