"EXIOBASE_sector","EXIOBASE_sector_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC"
"Cultivation of plant-based fibers",7,"Soft-Fibres, Other",2664,"c055","A"
"Cultivation of plant-based fibers",7,"Sisal",2665,"c056","A"
"Cultivation of plant-based fibers",7,"Abaca",2666,"c057","A"
"Cultivation of plant-based fibers",7,"Hard Fibres, Other",2667,"c058","A"
"Cultivation of crops nec",8,"Potatoes and products",2531,"c010","A"
"Cultivation of crops nec",8,"Cassava and products",2532,"c011","A"
"Cultivation of crops nec",8,"Sweet potatoes",2533,"c012","A"
"Cultivation of crops nec",8,"Roots, Other",2534,"c013","A"
"Cultivation of crops nec",8,"Yams",2535,"c014","A"
"Cultivation of crops nec",8,"Beans",2546,"c017","A"
"Cultivation of crops nec",8,"Peas",2547,"c018","A"
"Cultivation of crops nec",8,"Pulses, Other and products",2549,"c019","A"
"Cultivation of crops nec",8,"Coffee and products",2630,"c045","A"
"Cultivation of crops nec",8,"Cocoa Beans and products",2633,"c046","A"
"Cultivation of crops nec",8,"Tea (including mate)",2635,"c047","A"
"Cultivation of crops nec",8,"Hops",677,"c048","A"
"Cultivation of crops nec",8,"Pepper",2640,"c049","A"
"Cultivation of crops nec",8,"Pimento",2641,"c050","A"
"Cultivation of crops nec",8,"Cloves",2642,"c051","A"
"Cultivation of crops nec",8,"Spices, Other",2645,"c052","A"
"Cultivation of crops nec",8,"Tobacco",2671,"c059","A"
"Cultivation of crops nec",8,"Rubber",2672,"c060","A"
"Cultivation of crops nec",8,"Fodder crops",2000,"c061","A"
"Cattle farming",9,"Cattle",866,"c096","A"
"Pigs farming",10,"Pigs",1034,"c100","A"
"Poultry farming",11,"Poultry Birds",2029,"c101","A"
"Meat animals nec",12,"Buffaloes",946,"c097","A"
"Meat animals nec",12,"Sheep",976,"c098","A"
"Meat animals nec",12,"Goats",1016,"c099","A"
"Meat animals nec",12,"Horses",1096,"c102","A"
"Meat animals nec",12,"Asses",1107,"c103","A"
"Meat animals nec",12,"Mules",1110,"c104","A"
"Meat animals nec",12,"Camels",1126,"c105","A"
"Meat animals nec",12,"Camelids, other",1157,"c106","A"
"Meat animals nec",12,"Rabbits and hares",1140,"c107","A"
"Meat animals nec",12,"Rodents, other",1150,"c108","A"
"Animal products nec",13,"Eggs",2744,"c111","A"
"Animal products nec",13,"Honey",2745,"c121","A"
"Raw milk",14,"Milk - Excluding Butter",2848,"c109","A"
"Wool, silk-worm cocoons",15,"Wool (Clean Eq.)",2746,"c112","A"
"Wool, silk-worm cocoons",15,"Silk",2747,"c122","A"
"Manure treatment (conventional), storage and land application",16,,,,
"Manure treatment (biogas), storage and land application",17,,,,
"Forestry, logging and related service activities (02)",18,,,,
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",19,"Fish, Seafood",2960,"c123","A"
"Mining of coal and lignite; extraction of peat (10)",20,,,,
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",21,,,,
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",22,,,,
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",23,,,,
"Mining of uranium and thorium ores (12)",24,,,,
"Mining of iron ores",25,,,,
"Mining of copper ores and concentrates",26,,,,
"Mining of nickel ores and concentrates",27,,,,
"Mining of aluminium ores and concentrates",28,,,,
"Mining of precious metal ores and concentrates",29,,,,
"Mining of lead, zinc and tin ores and concentrates",30,,,,
"Mining of other non-ferrous metal ores and concentrates",31,,,,
"Quarrying of stone",32,,,,
"Quarrying of sand and clay",33,,,,
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",34,,,,
"Processing of meat cattle",35,"Bovine Meat",2731,"c113","C"
"Processing of meat pigs",36,"Pigmeat",2733,"c115","C"
"Processing of meat poultry",37,"Poultry Meat",2734,"c116","C"
"Production of meat products nec",38,"Mutton & Goat Meat",2732,"c114","C"
"Production of meat products nec",38,"Meat, Other",2735,"c117","C"
"Production of meat products nec",38,"Fats, Animals, Raw",2737,"c119","C"
"Production of meat products nec",38,"Offals, Edible",2736,"c118","C"
"Production of meat products nec",38,"Hides and skins",2748,"c120","C"
"Processing vegetable oils and fats",39,"Soyabean Oil",2571,"c068","C"
"Processing vegetable oils and fats",39,"Groundnut Oil",2572,"c069","C"
"Processing vegetable oils and fats",39,"Sunflowerseed Oil",2573,"c070","C"
"Processing vegetable oils and fats",39,"Rape and Mustard Oil",2574,"c071","C"
"Processing vegetable oils and fats",39,"Cottonseed Oil",2575,"c072","C"
"Processing vegetable oils and fats",39,"Palmkernel Oil",2576,"c073","C"
"Processing vegetable oils and fats",39,"Palm Oil",2577,"c074","C"
"Processing vegetable oils and fats",39,"Coconut Oil",2578,"c075","C"
"Processing vegetable oils and fats",39,"Sesameseed Oil",2579,"c076","C"
"Processing vegetable oils and fats",39,"Olive Oil",2580,"c077","C"
"Processing vegetable oils and fats",39,"Ricebran Oil",2581,"c078","C"
"Processing vegetable oils and fats",39,"Maize Germ Oil",2582,"c079","C"
"Processing vegetable oils and fats",39,"Oilcrops Oil, Other",2586,"c080","C"
"Processing vegetable oils and fats",39,"Soyabean Cake",2590,"c081","C"
"Processing vegetable oils and fats",39,"Groundnut Cake",2591,"c082","C"
"Processing vegetable oils and fats",39,"Sunflowerseed Cake",2592,"c083","C"
"Processing vegetable oils and fats",39,"Rape and Mustard Cake",2593,"c084","C"
"Processing vegetable oils and fats",39,"Cottonseed Cake",2594,"c085","C"
"Processing vegetable oils and fats",39,"Palmkernel Cake",2595,"c086","C"
