"GLORIA_sector","GLORIA_sector_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Raising of sheep and goats",17,"Milk - Excluding Butter",2848,"c109","A","VA intensity will be weighted by total product output for the milk containing category"
"Raising of sheep and goats",17,"Wool (Clean Eq.)",2746,"c112","A",
"Raising of swine/pigs",18,"Pigs",1034,"c100","A",
"Raising of poultry",19,"Eggs",2744,"c111","A",
"Raising of poultry",19,"Poultry Birds",2029,"c101","A",
"Raising of animals n.e.c.; services to agriculture",20,"Horses",1096,"c102","A",
"Raising of animals n.e.c.; services to agriculture",20,"Asses",1107,"c103","A",
"Raising of animals n.e.c.; services to agriculture",20,"Mules",1110,"c104","A",
"Raising of animals n.e.c.; services to agriculture",20,"Camels",1126,"c105","A",
"Raising of animals n.e.c.; services to agriculture",20,"Camelids, other",1157,"c106","A",
"Raising of animals n.e.c.; services to agriculture",20,"Milk - Excluding Butter",2848,"c109","A","VA intensity will be weighted by total product output for the milk containing category"
"Raising of animals n.e.c.; services to agriculture",20,"Rabbits and hares",1140,"c107","A",
"Raising of animals n.e.c.; services to agriculture",20,"Honey",2745,"c121","A",
"Raising of animals n.e.c.; services to agriculture",20,"Silk",2747,"c122","A",
"Raising of animals n.e.c.; services to agriculture",20,"Rodents, other",1150,"c108","A",
"Forestry and logging",21,,,,,
"Fishing",22,"Fish, Seafood",2960,"c123","A",
"Fish products",46,"Fish, Seafood",2960,"c123","C",
"Crustaceans and molluscs",23,"Fish, Seafood",2960,"c123","A",
"Hard coal",24,,,,,
"Lignite and peat",25,,,,,
"Petroleum extraction",26,,,,,
"Gas extraction",27,,,,,
"Iron ores",28,,,,,
"Uranium ores",29,,,,,
"Aluminium ore",30,,,,,
"Copper ores",31,,,,,
"Gold ores",32,,,,,
"Lead/zinc/silver ores",33,,,,,
"Nickel ores",34,,,,,
"Tin ores",35,,,,,
"Other non-ferrous ores",36,,,,,
"Quarrying of stone, sand and clay",37,,,,,
"Chemical and fertilizer minerals",38,,,,,
"Extraction of salt",39,,,,,
"Mining and quarrying n.e.c.; services to mining",40,,,,,
"Beef meat",41,"Bovine Meat",2731,"c113","C",
"Sheep meat",42,"Mutton & Goat Meat",2732,"c114","C",
"Pork",43,"Pigmeat",2733,"c115","C",
"Poultry meat",44,"Poultry Meat",2734,"c116","C",
"Other meat products",45,"Meat, Other",2735,"c117","C",
"Other meat products",45,"Offals, Edible",2736,"c118","C",
"Other meat products",45,"Hides and skins",2748,"c120","C",
"Food products and feeds n.e.c.",50,"Soyabean Cake",2590,"c081","C",
"Food products and feeds n.e.c.",50,"Groundnut Cake",2591,"c082","C",
"Food products and feeds n.e.c.",50,"Sunflowerseed Cake",2592,"c083","C",
"Food products and feeds n.e.c.",50,"Rape and Mustard Cake",2593,"c084","C",
"Food products and feeds n.e.c.",50,"Cottonseed Cake",2594,"c085","C",
"Food products and feeds n.e.c.",50,"Palmkernel Cake",2595,"c086","C",
"Food products and feeds n.e.c.",50,"Copra Cake",2596,"c087","C",
"Food products and feeds n.e.c.",50,"Sesameseed Cake",2597,"c088","C",
"Food products and feeds n.e.c.",50,"Oilseed Cakes, Other",2598,"c089","C",
"Food products and feeds n.e.c.",50,"Tea (including mate)",2635,"c047","C",
"Food products and feeds n.e.c.",50,"Coffee and products",2630,"c045","C",
"Food products and feeds n.e.c.",50,"Spices, Other",2645,"c052","C",
