item_code,item,item_hfubc
2000,Fodder crops,Fodder crops
2000,Fodder crops,Fodder inc. silage maize
2000,Fodder crops,Fodder roots
2000,Fodder crops,Fodder/Leguminous
2000,Fodder crops,Fodder/Others
2000,Fodder crops,Forage products nes
2000,Fodder crops,Green fodder
2000,Fodder crops,Green forages
2000,Fodder crops,Green manure crop
2000,Fodder crops,Hay
2000,Fodder crops,Leguminous
2000,Fodder crops,Leguminous Fodder
2000,Fodder crops,Leguminous fodder
2000,Fodder crops,Lucerne
2000,Fodder crops,Lucerne (Alfalfa)
2000,Fodder crops,Maize (Green silage)
2000,Fodder crops,Maize (green silage)
2000,Fodder crops,Maize green silage
2000,Fodder crops,Maize/Green Silage
2000,Fodder crops,Meadows (for hay)
2000,Fodder crops,Pasture &  Fodder
2000,Fodder crops,Pasture & Fodder
2000,Fodder crops,Pasture & Fodder (Other)
2000,Fodder crops,Pasture & fodder
2000,Fodder crops,Pasture/Fodder
2000,Fodder crops,Rough
2000,Fodder crops,Silage
2000,Fodder crops,Silage maize
94,Fonio,
720,"Ginger, raw",Ginger
549,Gooseberries,
560,Grapes,Grape
560,Grapes,Vines (grape)
560,Grapes,Vineyard
2001,Grazing,
2001,Grazing,All Grassland (Scotland)
2001,Grazing,Grass
2001,Grazing,Grass-seed
2001,Grazing,Grass/Seed
2001,Grazing,Grassland
2001,Grazing,Grassland & Pasture
2001,Grazing,Grassland (Intensive)
2001,Grazing,Grassland (Moderate)
2001,Grazing,Grassland (Other)
2001,Grazing,Grassland (fertilized)
2001,Grazing,Grassland (intensive)
2001,Grazing,Grassland and Pastures
2001,Grazing,Grassland fertilized
2001,Grazing,Grassland non-fertilized
2001,Grazing,Grassland/Fertilized
2001,Grazing,Grassland/Intensive
2001,Grazing,Grassland/Pasture
2001,Grazing,Grassland/Temporary
2001,Grazing,Grasslands
2001,Grazing,Grasslands & Pasture
2001,Grazing,Grasslands & Pastures
2001,Grazing,Grasslands & pastures
2001,Grazing,Grasslands (Permanent)
2001,Grazing,Grasslands (Temporary)
2001,Grazing,Grasslands (temporary)
2001,Grazing,Grasslands fertilized
2001,Grazing,Pasture
2001,Grazing,Pasture &  Fodder
2001,Grazing,Pasture & Fodder
2001,Grazing,Pasture & Fodder (Other)
2001,Grazing,Pasture & fodder
2001,Grazing,Pasture/Fodder
2001,Grazing,Perennial grass
446,Green corn (maize),
406,Green garlic,Garlic
242,"Groundnuts, excluding shelled",Groundnut
242,"Groundnuts, excluding shelled",Peanut
242,"Groundnuts, excluding shelled",Peanuts
225,"Hazelnuts, in shell",Hazelnut
336,Hempseed,Hemp/Tow
677,Hop cones,Hop
277,Jojoba seeds,
780,"Jute, raw or retted",Jute
780,"Jute, raw or retted",Jute/Kenaf
778,"Kapok fibre, raw",
310,Kapok fruit,
263,Karite nuts (sheanuts),
782,"Kenaf, and other textile bast fibres, raw or retted",Jute/Kenaf
592,Kiwi fruit,Kiwi
592,Kiwi fruit,Kiwifruit
224,Kola nuts,
407,Leeks and other alliaceous vegetables,
497,Lemons and limes,Lemon
497,Lemons and limes,Lemon & lime
497,Lemons and limes,Lime
201,"Lentils, dry",Lentil
201,"Lentils, dry",Lentils
372,Lettuce and chicory,
372,Lettuce and chicory,Head lettuce
372,Lettuce and chicory,Lettuce
372,Lettuce and chicory,Lettuce/Head
372,Lettuce and chicory,Lettuce/Others
372,Lettuce and chicory,Other lettuce
333,Linseed,Linseed
333,Linseed,"Sunflower,  soya, linseed"
333,Linseed,"Sunflower, soybean, linseed"
333,Linseed,"Sunflower. Soya, linseed"
461,Locust beans (carobs),
210,Lupins,
56,Maize (corn),Corn
56,Maize (corn),Grain Maize
56,Maize (corn),Grain maize
56,Maize (corn),Grain maize (including CCM)
56,Maize (corn),Grain maize. incl. CCM
56,Maize (corn),Maize
56,Maize (corn),Maize & Corn
56,Maize (corn),Maize & Grain
56,Maize (corn),Maize (for corn)
56,Maize (corn),Maize green
56,Maize (corn),Maize&Sorghum
56,Maize (corn),Maize/Fresh Sweet
56,Maize (corn),Maize/Grain
56,Maize (corn),Sweet fresh corn
56,Maize (corn),maize
571,"Mangoes, guavas and mangosteens",Mango
671,Maté leaves,
299,Melonseed,
79,Millet,Millet
79,Millet,Millet/Pearl
103,Mixed grain,Mixed grains
449,Mushrooms and truffles,
292,Mustard seed,Mustard
292,Mustard seed,Rape seed & Mustard
292,Mustard seed,Rapeseed & Mustard
836,Natural rubber in primary forms,Rubber
702,"Nutmeg, mace, cardamoms, raw",
75,Oats,Oat
75,Oats,Oat/Rye
75,Oats,Oats
75,Oats,Oats (Others)
75,Oats,Rye & Oat
75,Oats,"Rye,  oat, rice"
75,Oats,"Rye, oat rice"
75,Oats,"Rye, oat, rice"
75,Oats,"Rye, oat. Rice"
75,Oats,Rye/Oat
75,Oats,oat
254,Oil palm fruit,
254,Oil palm fruit,Oil Palm
254,Oil palm fruit,Oil palm
254,Oil palm fruit,Oil-Palm
254,Oil palm fruit,Oil-palm
430,Okra,
260,Olives,Olive
403,"Onions and shallots, dry (excluding dehydrated)",Dry onions
403,"Onions and shallots, dry (excluding dehydrated)",Onion/Dry
402,"Onions and shallots, green",
402,"Onions and shallots, green",Onion
402,"Onions and shallots, green",Onion & shallots
490,Oranges,Orange
414,"Other beans, green",Green beans
558,Other berries and fruits of the genus vaccinium n.e.c.,
558,Other berries and fruits of the genus vaccinium n.e.c.,Berries
558,Other berries and fruits of the genus vaccinium n.e.c.,Berry
558,Other berries and fruits of the genus vaccinium n.e.c.,Mulberry
512,"Other citrus fruit, n.e.c.",Citrus
512,"Other citrus fruit, n.e.c.",Citrus (Other)
512,"Other citrus fruit, n.e.c.",Citrus Fruits
512,"Other citrus fruit, n.e.c.",Citrus fruit
512,"Other citrus fruit, n.e.c.",Citrus fruits
512,"Other citrus fruit, n.e.c.",citrus Fruits
821,"Other fibre crops, raw, n.e.c.",Fibre crops
821,"Other fibre crops, raw, n.e.c.",Fibre flax
821,"Other fibre crops, raw, n.e.c.",Fibres
619,"Other fruits, n.e.c.",Deciduous fruits
619,"Other fruits, n.e.c.",Fruit
619,"Other fruits, n.e.c.",Fruit and vegetables
619,"Other fruits, n.e.c.",Fruit gardens
619,"Other fruits, n.e.c.",Fruit primary and citrus fruits and treenuts
619,"Other fruits, n.e.c.",Fruit/Deciduous
619,"Other fruits, n.e.c.",Fruits
619,"Other fruits, n.e.c.",Fruits & vegetables
619,"Other fruits, n.e.c.",Fruits (Other)
619,"Other fruits, n.e.c.",Fruits (other)
619,"Other fruits, n.e.c.",Fruits/Others
619,"Other fruits, n.e.c.",Fruits/Vegetables
619,"Other fruits, n.e.c.",Orchards
619,"Other fruits, n.e.c.",Others (fruits
619,"Other fruits, n.e.c.","Perm. crops (fruit, vineyard)"
619,"Other fruits, n.e.c.",Perm. crops (fruit. vineyard)
619,"Other fruits, n.e.c.","Permanent Crops (fruit, vineyard)"
619,"Other fruits, n.e.c.","Permanent Crops (fruits, vineyard)"
619,"Other fruits, n.e.c.",Sub-tropical fruits
619,"Other fruits, n.e.c.",Subtropical fruits
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Nuts
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Oil Crops/Nuts
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Oil crops & Nuts
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Oil crops & nuts
339,"Other oil seeds, n.e.c.",
339,"Other oil seeds, n.e.c.",Flax
339,"Other oil seeds, n.e.c.",Oil Crops/Nuts
339,"Other oil seeds, n.e.c.",Oil crops
339,"Other oil seeds, n.e.c.",Oil crops & Nuts
339,"Other oil seeds, n.e.c.",Oil crops & nuts
339,"Other oil seeds, n.e.c.",Oil crops (other)
339,"Other oil seeds, n.e.c.",Oils crops & Nuts
339,"Other oil seeds, n.e.c.",Oilseeds
339,"Other oil seeds, n.e.c.",Oilseeds/Others
339,"Other oil seeds, n.e.c.",Oilseeds/Pulses
339,"Other oil seeds, n.e.c.",Other oil crops
339,"Other oil seeds, n.e.c.",Other oil seed
339,"Other oil seeds, n.e.c.",Pulses/oilseeds
542,Other pome fruits,Tangelo
211,Other pulses n.e.c.,
211,Other pulses n.e.c.,Cowpea
211,Other pulses n.e.c.,Gram
211,Other pulses n.e.c.,Oilseeds/Pulses
211,Other pulses n.e.c.,Pulses
211,Other pulses n.e.c.,Pulses (Other)
211,Other pulses n.e.c.,Pulses (for seed)
211,Other pulses n.e.c.,Pulses (other)
211,Other pulses n.e.c.,Pulses(Other)
211,Other pulses n.e.c.,Pulses/Others
211,Other pulses n.e.c.,Pulses/oilseeds
723,"Other stimulant, spice and aromatic crops, n.e.c.",Spices
541,Other stone fruits,Stone and Pipe Fruits
161,Other sugar crops n.e.c.,Sugar crops
603,"Other tropical fruits, n.e.c.",
603,"Other tropical fruits, n.e.c.",Fruit/Sub-Tropical
603,"Other tropical fruits, n.e.c.",Fruits (Trop./Sub-Tr)
603,"Other tropical fruits, n.e.c.",Passionfruit
463,"Other vegetables, fresh n.e.c.",Celery
463,"Other vegetables, fresh n.e.c.",Field vegetables
463,"Other vegetables, fresh n.e.c.",Fruit and vegetables
463,"Other vegetables, fresh n.e.c.",Fruits & vegetables
463,"Other vegetables, fresh n.e.c.",Fruits/Vegetables
463,"Other vegetables, fresh n.e.c.",Leafy Vegetables
463,"Other vegetables, fresh n.e.c.",Radish
463,"Other vegetables, fresh n.e.c.",Vegetable/Others
463,"Other vegetables, fresh n.e.c.",Vegetables
463,"Other vegetables, fresh n.e.c.",Vegetables (Other)
463,"Other vegetables, fresh n.e.c.",Vegetables (Other}
463,"Other vegetables, fresh n.e.c.",Vegetables (covered area)
463,"Other vegetables, fresh n.e.c.",Vegetables (open area)
463,"Other vegetables, fresh n.e.c.",Vegetables (other)
463,"Other vegetables, fresh n.e.c.",Vegetables glasshouse
463,"Other vegetables, fresh n.e.c.",Vegetables/Others
463,"Other vegetables, fresh n.e.c.",vegetables
600,Papayas,Papaya
534,Peaches and nectarines,
534,Peaches and nectarines,Nectarine
534,Peaches and nectarines,Nectarine & peach
534,Peaches and nectarines,Nectarines
534,Peaches and nectarines,Peach
534,Peaches and nectarines,Peach & Plum
534,Peaches and nectarines,Peach/Plum
534,Peaches and nectarines,Peaches
521,Pears,Apple & Pear
521,Pears,Apple/Pear
521,Pears,Pear
521,Pears,Pears
187,"Peas, dry",Pea
187,"Peas, dry","Pea, dry"
187,"Peas, dry",Pea/Dry
187,"Peas, dry","Pulses (pea, bean)"
187,"Peas, dry","Pulses (pea, beans)"
187,"Peas, dry","Pulses (peas, beans)"
187,"Peas, dry",Pulses (peas. beans)
417,"Peas, green","Pea, green"
687,"Pepper (Piper spp.), raw",
748,"Peppermint, spearmint",
587,Persimmons,
197,"Pigeon peas, dry",
574,Pineapples,Pineapple
223,"Pistachios, in shell",Pistachio
489,Plantains and cooking bananas,
489,Plantains and cooking bananas,Banana/Plantain
489,Plantains and cooking bananas,Ensete
489,Plantains and cooking bananas,Plantain
489,Plantains and cooking bananas,Plantain and banana
536,Plums and sloes,
536,Plums and sloes,Peach & Plum
536,Plums and sloes,Peach/Plum
536,Plums and sloes,Plum
507,Pomelos and grapefruits,Grapefruit
296,Poppy seed,Poppy
116,Potatoes,
116,Potatoes,Potato
116,Potatoes,Potato (early)
116,Potatoes,Potato (for starch industry)
116,Potatoes,Potato (ware)
394,"Pumpkins, squash and gourds",Squash
394,"Pumpkins, squash and gourds",Squash and gourd
394,"Pumpkins, squash and gourds",Squash/Gourd
754,"Pyrethrum, dried flowers",
523,Quinces,
