hs_code,hs_name,isscaap_code,isscaap_name,source,fbs_code,fbs_name,fao_group_code,fao_group_name,tcf
30782,"Stromboid conchs, live, fresh or chilled",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,1
30783,"Abalone (Haliotis spp.), frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30784,"Stromboid conchs (Strombus spp), frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30787,"Abalones, dried, salted or in brine, smoked",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30791,"Aquatic invertebrates nes, fresh or chilled, live",11,Aquatic invertebrates nes,both,2998,Aquatic invertebrates nes,1998,Aquatic invertebrates nes,1
30792,"Univalves nei, frozen",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
30799,"Aquatic invertebrates nes, frozen or preserved",11,Aquatic invertebrates nes,both,2998,Aquatic invertebrates nes,1998,Aquatic invertebrates nes,1.5
30811,"Sea-cucumber, live, fresh or chilled",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1
30812,"Sea-cucumber, frozen",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1.5
30819,"Sea-cucumber, dried, salted or in brine, smoked",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,2
30821,"Sea-urchin, live, fresh or chilled",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1
30822,"Sea-urchin, frozen",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1.5
30829,"Sea-urchin, dried, salted or in brine; fermented, smoked",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,2
30830,"Jellyfish, live, fresh or chilled",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1
30890,"Other aquatic invertebrates, live, fresh or chilled",11,Aquatic invertebrates nes,proc,2998,Aquatic invertebrates nes,1998,Aquatic invertebrates nes,1
51191,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 03, unfit for human consumption",12,Seafood nes,baci,2999,Seafood nes,1999,Seafood nes,1
150410,"Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified",10,Fish nes,both,2997,Fish nes,1997,Fish nes,1
150420,"Fats and oils and their fractions; of fish, (excluding liver-oils)",10,Fish nes,both,2997,Fish nes,1997,Fish nes,1
160411,"Fish preparations; salmon, prepared or preserved, whole or in pieces (but not minced)",2,Diadromous fishes,both,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
160412,"Fish preparations; herrings, prepared or preserved, whole or in pieces (but not minced)",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
160413,"Fish preparations; sardines, sardinella and brisling or sprats, prepared or preserved, whole or in pieces (but not minced)",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
160414,"Fish preparations; tunas, skipjack and Atlantic bonito (sarda spp.), prepared or preserved, whole or in pieces (but not minced)",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
160416,"Fish preparations; anchovies, prepared or preserved, whole or in pieces (but not minced)",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
160417,"Fish preparations; eels, prepared or preserved, whole or in pieces (but not minced)",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",10,Fish nes,both,2997,Fish nes,1997,Fish nes,2.65
160420,"Fish preparations; fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved",10,Fish nes,both,2997,Fish nes,1997,Fish nes,2.65
160430,Fish preparations; caviar and substitutes,10,Fish nes,baci,2997,Fish nes,1997,Fish nes,2
160431,Fish preparations; caviar,2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,3
160432,"Fish preparations; caviar substitutes, prepared from fish eggs",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,1
160510,"Crab, prepared or preserved",4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,2.5
160520,"Shrimps and prawns, prepared or preserved",4,Crustaceans,baci,2765,Crustaceans,1553,Crustaceans,2
160521,"Shrimps and prawns, prep. or pres., not in airtight containers",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,2
160529,"Shrimps, peeled, cooked, prep. or pres.",4,Crustaceans,proc,2765,Crustaceans,1553,Crustaceans,2
160530,"Lobster, prepared or preserved",4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,2
160540,"Crustaceans nes, prepared or preserved",4,Crustaceans,both,2765,Crustaceans,1553,Crustaceans,2
160551,"Oyster meat, prepared or preserved, nei",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
160552,"Scallop meat, prepared or preserved",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
160553,"Mussel meat, prepared or preserved, nei",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
160554,"Mollusc preparations; cuttle fish and squid, prepared or preserved",5,Molluscs,proc,2766,Cephalopods,1570,Cephalopods,1.5
160555,"Octopus, prepared or preserved",5,Molluscs,proc,2766,Cephalopods,1570,Cephalopods,1.5
160556,"Clams, prep. or pres., whether or not in airtight containers",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
160557,"Abalone meat, prepared or preserved",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
160559,"Molluscs and other aq. invertebrates, prep. or pres., nei",5,Molluscs,proc,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
160561,"Sea-cucumber, prepared or preserved",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1.5
160562,"Sea-urchin, prepared or preserved",7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1.5
160563,Jellyfish preparations,7,Miscellaneous aquatic animals,proc,2769,"Aquatic Animals, Others",1587,Aquatic Animals NEI,1.5
160569,"Other aquatic invertebrates, prepared or preserved, nei",11,Aquatic invertebrates nes,proc,2998,Aquatic invertebrates nes,1998,Aquatic invertebrates nes,1.5
160590,"Molluscs and shellfish nes, prepared or preserved",5,Molluscs,baci,2767,"Molluscs, Other",1562,Molluscs excl. Cephalopods,4.5
210390,"Fish, sauce",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,1
230120,"Flours, meals and pellets; of fish or of crustaceans, molluscs or other aquatic invertebrates",12,Seafood nes,both,2999,Seafood nes,1999,Seafood nes,1
230990,Solubles from fish,10,Fish nes,proc,2997,Fish nes,1997,Fish nes,1
