hs_code,hs_name,isscaap_code,isscaap_name,source,fbs_code,fbs_name,fao_group_code,fao_group_name,tcf
30322,"Salmon Atlantic or Danube, frozen, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.3
30323,"Tilapias, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30324,"Catfish, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30325,"Carps, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30326,"Eels, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.13
30329,"Salmonidae, nes, frozen, whole",2,Diadromous fishes,both,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.12
30331,"Halibut, frozen, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.29
30332,"Plaice, frozen, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.07
30333,"Sole, frozen, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.05
30334,"Turbots, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.15
30339,"Flatfish except halibut, plaice or sole, frozen, whole",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.19
30341,"Tunas (albacore, longfin), frozen, whole",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.15
30342,"Tunas (yellowfin), frozen, whole",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.16
30343,"Skipjack, stripe-bellied bonito, frozen, whole",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.13
30344,"Bigeye tuna, frozen, nei",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.09
30345,"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.09
30346,"Southern bluefin tuna(Thunnus maccoyii), frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.09
30349,"Tunas nes, frozen, whole",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.09
30350,"Herrings, frozen, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30351,"Atlantic herring, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
