species,species_name,isscaap_division_code,isscaap_division_name,isscaap_group_code,isscaap_group_name,fao_group_code,fao_group_name,cpc_division_code,cpc_division_name,cpc_group_code,cpc_group_name,cpc_class_code,cpc_class_name
VNC,African solenette,3,Marine fishes,31,"Flounders, halibuts, soles",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",423,"Flatfish, live, fresh or chilled"
TDO,African spadefish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OUK,African squid,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",446,"Cuttlefish and squid, live, fresh or chilled"
GRA,African striped grunt,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
HPU,Aimara,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
COJ,Aka coral,8,Miscellaneous aquatic animal products,82,Corals,,,4,Fish and other fishing products,49,Other aquatic plants and animals,491,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose"
AKS,Akiami paste shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",436,"Other shrimps and prawns, live, fresh or chilled"
ALP,Alaska plaice,3,Marine fishes,31,"Flounders, halibuts, soles",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",423,"Flatfish, live, fresh or chilled"
ALK,Alaska pollock(=Walleye poll.),3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
ALB,Albacore,3,Marine fishes,36,"Tunas, bonitos, billfishes",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",425,"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
AEB,[Alestes baremoze],1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
XAE,[Alestes spp],1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
ALE,Alewife,2,Diadromous fishes,24,Shads,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ALA,Alexandria pompano,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
BXD,Alfonsino,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
BRX,"Alfonsinos, etc. NEI",3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ALF,Alfonsinos NEI,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
BBK,Algerian barb,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
LLS,Alligator gar,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
SHD,Allis and twaite shads,2,Diadromous fishes,24,Shads,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ASD,Allis shad,2,Diadromous fishes,24,Shads,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OUW,Alloteuthis squids NEI,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",446,"Cuttlefish and squid, live, fresh or chilled"
SEW,Amazonian manatee,6,"Whales, seals and other aquatic mammals",64,Miscellaneous aquatic mammals,1579,Aquatic Mammals,,,,,,
QYP,Amazon sailfin catfish,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
AMX,Amberjacks NEI,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
AGM,American alligator,7,Miscellaneous aquatic animals,73,Crocodiles and alligators,,,,,,,,
ANG,American angler,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
FOK,American bull frog,7,Miscellaneous aquatic animals,71,Frogs and other amphibians,1587,Aquatic Animals NEI,,,,,,
COA,American conger,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
YUU,American crocodile,7,Miscellaneous aquatic animals,73,Crocodiles and alligators,,,,,,,,
OYA,American cupped oyster,5,Molluscs,53,Oysters,1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",442,"Oysters, live, fresh or chilled"
ELA,American eel,2,Diadromous fishes,22,River eels,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
SHG,American gizzard shad,2,Diadromous fishes,24,Shads,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ERP,American harvestfish,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
LBA,American lobster,4,Crustaceans,43,"Lobsters, spiny-rock lobsters",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",433,"Lobsters (Homarus spp.), live, fresh or chilled"
AVM,American sand lance,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
SCA,American sea scallop,5,Molluscs,55,"Scallops, pectens",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",444,"Scallops, live, fresh or chilled"
SHA,American shad,2,Diadromous fishes,24,Shads,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
TIX,American yellow cockle,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
FPY,American yellow perch,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
PLA,Amer. plaice(=Long rough dab),3,Marine fishes,31,"Flounders, halibuts, soles",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",423,"Flatfish, live, fresh or chilled"
SRO,Amur catfish,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
BLS,Anadara clams NEI,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
VET,Anchoveta(=Peruvian anchovy),3,Marine fishes,35,"Herrings, sardines, anchovies",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
ANX,"Anchovies, etc. NEI",3,Marine fishes,35,"Herrings, sardines, anchovies",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
ENR,Anchovies NEI,3,Marine fishes,35,"Herrings, sardines, anchovies",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
NEA,Andaman lobster,4,Crustaceans,43,"Lobsters, spiny-rock lobsters",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",439,"Other crustaceans, live, fresh or chilled"
