proc_code,proc,comm_code,item_code,item,source,base_code,base
p111,Asses slaughtering,c123,2749,Meat Meal,supply,2735,"Meat, Other"
p112,Mules slaughtering,c123,2749,Meat Meal,supply,2735,"Meat, Other"
p113,Camels slaughtering,c123,2749,Meat Meal,supply,2735,"Meat, Other"
p114,"Camelids slaughtering, other",c123,2749,Meat Meal,supply,2735,"Meat, Other"
p115,Rabbits slaughtering,c123,2749,Meat Meal,supply,2735,"Meat, Other"
p116,"Rodents slaughtering, other",c123,2749,Meat Meal,supply,2735,"Meat, Other"
p117,"Live animals slaughtering, other",c123,2749,Meat Meal,supply,2735,"Meat, Other"
p104,Cattle slaughtering,c124,843,Pet food,supply,2731,Bovine Meat
p105,Buffaloes slaughtering,c124,843,Pet food,supply,2731,Bovine Meat
p106,Sheep slaughtering,c124,843,Pet food,supply,2732,Mutton & Goat Meat
p107,Goat slaughtering,c124,843,Pet food,supply,2732,Mutton & Goat Meat
p108,Pigs slaughtering,c124,843,Pet food,supply,2733,Pigmeat
p109,Poultry slaughtering,c124,843,Pet food,supply,2734,Poultry Meat
p110,Horses slaughtering,c124,843,Pet food,supply,2735,"Meat, Other"
p111,Asses slaughtering,c124,843,Pet food,supply,2735,"Meat, Other"
p112,Mules slaughtering,c124,843,Pet food,supply,2735,"Meat, Other"
p113,Camels slaughtering,c124,843,Pet food,supply,2735,"Meat, Other"
p114,"Camelids slaughtering, other",c124,843,Pet food,supply,2735,"Meat, Other"
p115,Rabbits slaughtering,c124,843,Pet food,supply,2735,"Meat, Other"
p116,"Rodents slaughtering, other",c124,843,Pet food,supply,2735,"Meat, Other"
p117,"Live animals slaughtering, other",c124,843,Pet food,supply,2735,"Meat, Other"
