area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Chile,CHL,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Chile,CHL,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1196
Chile,CHL,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
"China, mainland",CHN,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
"China, mainland",CHN,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.74
"China, mainland",CHN,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.08
"China, mainland",CHN,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1104
"China, mainland",CHN,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1012
"China, mainland",CHN,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Christmas Island,CXR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Christmas Island,CXR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Christmas Island,CXR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Christmas Island,CXR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Christmas Island,CXR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Christmas Island,CXR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cocos (Keeling) Islands,CCK,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cocos (Keeling) Islands,CCK,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Cocos (Keeling) Islands,CCK,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cocos (Keeling) Islands,CCK,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Cocos (Keeling) Islands,CCK,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Cocos (Keeling) Islands,CCK,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Colombia,COL,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Colombia,COL,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Colombia,COL,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Colombia,COL,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1104
Colombia,COL,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Colombia,COL,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Comoros,COM,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Comoros,COM,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Comoros,COM,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Comoros,COM,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Comoros,COM,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Comoros,COM,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Congo,COG,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Congo,COG,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Congo,COG,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Congo,COG,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08556
Congo,COG,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Congo,COG,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cook Islands,COK,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cook Islands,COK,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Cook Islands,COK,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cook Islands,COK,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Cook Islands,COK,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Cook Islands,COK,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Costa Rica,CRI,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Costa Rica,CRI,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Costa Rica,CRI,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.11
Costa Rica,CRI,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Costa Rica,CRI,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Costa Rica,CRI,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cuba,CUB,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cuba,CUB,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Cuba,CUB,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cuba,CUB,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Cuba,CUB,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Cuba,CUB,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cyprus,CYP,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cyprus,CYP,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.64
Cyprus,CYP,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cyprus,CYP,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Cyprus,CYP,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Cyprus,CYP,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Czechoslovakia,CSK,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Czechoslovakia,CSK,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Czechoslovakia,CSK,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Czechoslovakia,CSK,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Czechoslovakia,CSK,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Czechoslovakia,CSK,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Azerbaijan,AZE,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Azerbaijan,AZE,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.51
Azerbaijan,AZE,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Azerbaijan,AZE,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Azerbaijan,AZE,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Azerbaijan,AZE,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Benin,BEN,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Benin,BEN,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Benin,BEN,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Benin,BEN,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08832
Benin,BEN,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Benin,BEN,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Denmark,DNK,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Denmark,DNK,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Denmark,DNK,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Denmark,DNK,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Denmark,DNK,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1472
Denmark,DNK,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Dominica,DMA,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Dominica,DMA,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Dominica,DMA,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Dominica,DMA,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Dominica,DMA,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Dominica,DMA,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Dominican Republic,DOM,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Dominican Republic,DOM,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Dominican Republic,DOM,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Dominican Republic,DOM,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Dominican Republic,DOM,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Dominican Republic,DOM,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Belarus,BLR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Belarus,BLR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.79
Belarus,BLR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Belarus,BLR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Belarus,BLR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1196
Belarus,BLR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Ecuador,ECU,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Ecuador,ECU,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Ecuador,ECU,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Ecuador,ECU,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08832
Ecuador,ECU,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Ecuador,ECU,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Egypt,EGY,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Egypt,EGY,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.65
Egypt,EGY,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Egypt,EGY,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Egypt,EGY,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Egypt,EGY,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
El Salvador,SLV,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
El Salvador,SLV,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
El Salvador,SLV,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.1
El Salvador,SLV,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.0874
El Salvador,SLV,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
El Salvador,SLV,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Equatorial Guinea,GNQ,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Equatorial Guinea,GNQ,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Equatorial Guinea,GNQ,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Equatorial Guinea,GNQ,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Equatorial Guinea,GNQ,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Equatorial Guinea,GNQ,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Ethiopia PDR,ETH,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Ethiopia PDR,ETH,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.75
Ethiopia PDR,ETH,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Ethiopia PDR,ETH,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Ethiopia PDR,ETH,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Ethiopia PDR,ETH,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Estonia,EST,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Estonia,EST,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.69
Estonia,EST,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Estonia,EST,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Estonia,EST,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Estonia,EST,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Faroe Islands,FRO,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Faroe Islands,FRO,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Faroe Islands,FRO,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Faroe Islands,FRO,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Faroe Islands,FRO,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Faroe Islands,FRO,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Falkland Islands (Malvinas),FLK,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Falkland Islands (Malvinas),FLK,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Falkland Islands (Malvinas),FLK,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Falkland Islands (Malvinas),FLK,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Falkland Islands (Malvinas),FLK,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Falkland Islands (Malvinas),FLK,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Fiji,FJI,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Fiji,FJI,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Fiji,FJI,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Fiji,FJI,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Fiji,FJI,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Fiji,FJI,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Finland,FIN,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Finland,FIN,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Finland,FIN,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Finland,FIN,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Finland,FIN,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Finland,FIN,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
France,FRA,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
France,FRA,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.78
France,FRA,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
France,FRA,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
France,FRA,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.138
France,FRA,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
French Guiana,GUF,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
French Guiana,GUF,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
French Guiana,GUF,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
French Guiana,GUF,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
French Guiana,GUF,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
French Guiana,GUF,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
French Polynesia,PYF,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
French Polynesia,PYF,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
French Polynesia,PYF,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
French Polynesia,PYF,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
French Polynesia,PYF,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
French Polynesia,PYF,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
French Southern and Antarctic Territories,ATF,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
French Southern and Antarctic Territories,ATF,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
French Southern and Antarctic Territories,ATF,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
French Southern and Antarctic Territories,ATF,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
French Southern and Antarctic Territories,ATF,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
French Southern and Antarctic Territories,ATF,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Djibouti,DJI,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Djibouti,DJI,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Djibouti,DJI,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Djibouti,DJI,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Djibouti,DJI,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Djibouti,DJI,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Georgia,GEO,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Georgia,GEO,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.65
Georgia,GEO,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Georgia,GEO,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Georgia,GEO,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Georgia,GEO,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Gabon,GAB,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Gabon,GAB,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Gabon,GAB,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Gabon,GAB,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08924
Gabon,GAB,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Gabon,GAB,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Gambia,GMB,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Gambia,GMB,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Gambia,GMB,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Gambia,GMB,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Gambia,GMB,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Gambia,GMB,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Germany,DEU,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Germany,DEU,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.67
Germany,DEU,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Germany,DEU,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Germany,DEU,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.138
Germany,DEU,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bosnia and Herzegovina,BIH,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bosnia and Herzegovina,BIH,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.66
Bosnia and Herzegovina,BIH,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bosnia and Herzegovina,BIH,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Bosnia and Herzegovina,BIH,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1012
Bosnia and Herzegovina,BIH,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Ghana,GHA,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Ghana,GHA,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Ghana,GHA,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Ghana,GHA,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Ghana,GHA,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Ghana,GHA,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Gibraltar,GIB,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Gibraltar,GIB,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Gibraltar,GIB,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Gibraltar,GIB,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Gibraltar,GIB,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Gibraltar,GIB,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Kiribati,KIR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Kiribati,KIR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Kiribati,KIR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Kiribati,KIR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1056
Kiribati,KIR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1344
Kiribati,KIR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Greece,GRC,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Greece,GRC,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.61
Greece,GRC,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Greece,GRC,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Greece,GRC,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1012
Greece,GRC,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Greenland,GRL,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Greenland,GRL,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
