area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Australia,AUS,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1344
Australia,AUS,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Austria,AUT,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Austria,AUT,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.77
Austria,AUT,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Austria,AUT,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1001
Austria,AUT,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1547
Austria,AUT,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bahamas,BHS,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bahamas,BHS,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bahamas,BHS,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bahamas,BHS,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Bahamas,BHS,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Bahamas,BHS,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bahrain,BHR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bahrain,BHR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bahrain,BHR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bahrain,BHR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Bahrain,BHR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Bahrain,BHR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Barbados,BRB,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Barbados,BRB,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Barbados,BRB,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Barbados,BRB,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.092
Barbados,BRB,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Barbados,BRB,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Belgium-Luxembourg,BLX,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Belgium-Luxembourg,BLX,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.74
Belgium-Luxembourg,BLX,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Belgium-Luxembourg,BLX,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Belgium-Luxembourg,BLX,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1472
Belgium-Luxembourg,BLX,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bangladesh,BGD,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bangladesh,BGD,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bangladesh,BGD,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.1
Bangladesh,BGD,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08372
Bangladesh,BGD,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Bangladesh,BGD,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bermuda,BMU,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bermuda,BMU,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.66
Bermuda,BMU,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bermuda,BMU,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1023
Bermuda,BMU,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1302
Bermuda,BMU,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bhutan,BTN,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bhutan,BTN,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bhutan,BTN,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bhutan,BTN,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Bhutan,BTN,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Bhutan,BTN,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bolivia (Plurinational State of),BOL,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bolivia (Plurinational State of),BOL,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.5
Bolivia (Plurinational State of),BOL,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bolivia (Plurinational State of),BOL,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08556
