area_code,inp_code,inp,out_code,out,value
2,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
2,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
2,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
2,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
2,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
2,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
2,2544,Molasses,2658,"Beverages, Alcoholic",0.525
2,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
2,2615,Bananas,2657,"Beverages, Fermented",0.594791667
2,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
2,2616,Plantains,2657,"Beverages, Fermented",0.594791667
2,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
2,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
2,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
2,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
2,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
2,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.758888889
2,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
2,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
2,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
2,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
2,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
2,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
2,2655,Wine,2659,"Alcohol, Non-Food",0.19934
2,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
2,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
2,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
2,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
2,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
2,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
3,2511,Wheat and products,2543,"Sweeteners, Other",1.078
3,2511,Wheat and products,2656,Beer,4.455
3,2511,Wheat and products,2657,"Beverages, Fermented",4.455
3,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
3,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
3,2513,Barley and products,2543,"Sweeteners, Other",
3,2513,Barley and products,2656,Beer,4.7815
3,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
3,2513,Barley and products,2659,"Alcohol, Non-Food",
3,2514,Maize and products,2543,"Sweeteners, Other",0.8415
3,2514,Maize and products,2656,Beer,5.5
3,2514,Maize and products,2657,"Beverages, Fermented",5.5
3,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
3,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
3,2515,Rye and products,2656,Beer,4.8173
3,2515,Rye and products,2657,"Beverages, Fermented",4.8173
3,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
3,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
3,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
3,2517,Millet and products,2656,Beer,4.5
3,2517,Millet and products,2657,"Beverages, Fermented",4.5
3,2518,Sorghum and products,2656,Beer,4.85
3,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
3,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
3,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
3,2520,"Cereals, Other",2656,Beer,4.8173
3,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
3,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
3,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
3,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
3,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
3,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
3,2532,Cassava and products,2543,"Sweeteners, Other",0.25
3,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
3,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
3,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
3,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
3,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
3,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
3,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
3,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
3,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
3,2544,Molasses,2658,"Beverages, Alcoholic",0.525
3,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
3,2615,Bananas,2657,"Beverages, Fermented",0.594791667
3,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
3,2616,Plantains,2657,"Beverages, Fermented",0.594791667
3,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
3,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
3,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
3,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
3,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
3,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.8
3,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
3,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
3,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
3,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
3,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
3,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
3,2655,Wine,2659,"Alcohol, Non-Food",0.19934
3,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
3,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
3,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
3,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
3,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
3,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
4,2511,Wheat and products,2543,"Sweeteners, Other",1.078
4,2511,Wheat and products,2656,Beer,4.455
4,2511,Wheat and products,2657,"Beverages, Fermented",4.455
4,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
4,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
4,2513,Barley and products,2543,"Sweeteners, Other",
4,2513,Barley and products,2656,Beer,4.7815
4,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
4,2513,Barley and products,2659,"Alcohol, Non-Food",
4,2514,Maize and products,2543,"Sweeteners, Other",0.8415
4,2514,Maize and products,2656,Beer,5.5
4,2514,Maize and products,2657,"Beverages, Fermented",5.5
4,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
4,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
4,2515,Rye and products,2656,Beer,4.8173
4,2515,Rye and products,2657,"Beverages, Fermented",4.8173
4,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
4,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
4,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
4,2517,Millet and products,2656,Beer,4.5
4,2517,Millet and products,2657,"Beverages, Fermented",4.5
4,2518,Sorghum and products,2656,Beer,4.85
4,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
4,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
4,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
4,2520,"Cereals, Other",2656,Beer,4.8173
4,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
4,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
4,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
4,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
4,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
4,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
4,2532,Cassava and products,2543,"Sweeteners, Other",0.25
4,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
4,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
4,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
4,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
4,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
4,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
4,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
4,2541,Sugar non-centrifugal,2658,"Beverages, Alcoholic",1.3
4,2543,"Sweeteners, Other",2658,"Beverages, Alcoholic",1.5
4,2544,Molasses,2658,"Beverages, Alcoholic",0.525
4,2544,Molasses,2659,"Alcohol, Non-Food",0.19934
4,2615,Bananas,2657,"Beverages, Fermented",0.594791667
4,2615,Bananas,2658,"Beverages, Alcoholic",0.468188889
4,2616,Plantains,2657,"Beverages, Fermented",0.594791667
4,2616,Plantains,2658,"Beverages, Alcoholic",0.468188889
