proc_code,proc,comm_code,item_code,item,type
p074,Coconut Oil extraction,c075,2578,Coconut Oil,seedwaste
p074,Coconut Oil extraction,c087,2596,Copra Cake,seedwaste
p075,Sesameseed Oil extraction,c027,2561,Sesame seed,100%
p075,Sesameseed Oil extraction,c076,2579,Sesameseed Oil,seedwaste
p075,Sesameseed Oil extraction,c088,2597,Sesameseed Cake,seedwaste
p076,Olive Oil extraction,c029,2563,Olives (including preserved),100%
p076,Olive Oil extraction,c077,2580,Olive Oil,seedwaste
p077,Ricebran Oil extraction,c001,2807,Rice and products,TCF
p077,Ricebran Oil extraction,c078,2581,Ricebran Oil,seedwaste
p077,Ricebran Oil extraction,c089,2598,"Oilseed Cakes, Other",seedwaste
p078,Maize Germ Oil extraction,c004,2514,Maize and products,TCF
p078,Maize Germ Oil extraction,c079,2582,Maize Germ Oil,seedwaste
p078,Maize Germ Oil extraction,c089,2598,"Oilseed Cakes, Other",seedwaste
p079,"Oilcrops Oil extraction, Other",c030,2570,"Oilcrops, Other",100%
p079,"Oilcrops Oil extraction, Other",c080,2586,"Oilcrops Oil, Other",seedwaste
p079,"Oilcrops Oil extraction, Other",c089,2598,"Oilseed Cakes, Other",seedwaste
p080,Wine production,c043,2620,Grapes and products (excl wine),TCF
p080,Wine production,c090,2655,Wine,seedwaste
p081,Beer production,c001,2807,Rice and products,optim
p081,Beer production,c002,2511,Wheat and products,optim
p081,Beer production,c003,2513,Barley and products,optim
p081,Beer production,c004,2514,Maize and products,optim
p081,Beer production,c005,2515,Rye and products,optim
p081,Beer production,c007,2517,Millet and products,optim
p081,Beer production,c008,2518,Sorghum and products,optim
p081,Beer production,c009,2520,"Cereals, Other",optim
p081,Beer production,c048,677,Hops,100%
p081,Beer production,c091,2656,Beer,seedwaste
p082,"Beverages production, Fermented",c001,2807,Rice and products,optim
p082,"Beverages production, Fermented",c002,2511,Wheat and products,optim
p082,"Beverages production, Fermented",c004,2514,Maize and products,optim
p082,"Beverages production, Fermented",c005,2515,Rye and products,optim
p082,"Beverages production, Fermented",c007,2517,Millet and products,optim
p082,"Beverages production, Fermented",c008,2518,Sorghum and products,optim
p082,"Beverages production, Fermented",c009,2520,"Cereals, Other",optim
p082,"Beverages production, Fermented",c038,2615,Bananas,optim
p082,"Beverages production, Fermented",c039,2616,Plantains,optim
p082,"Beverages production, Fermented",c040,2617,Apples and products,optim
p082,"Beverages production, Fermented",c043,2620,Grapes and products (excl wine),optim
p082,"Beverages production, Fermented",c044,2625,"Fruits, Other",optim
p082,"Beverages production, Fermented",c092,2657,"Beverages, Fermented",seedwaste
p083,"Beverages production, Alcoholic",c001,2807,Rice and products,optim
p083,"Beverages production, Alcoholic",c002,2511,Wheat and products,optim
p083,"Beverages production, Alcoholic",c003,2513,Barley and products,optim
p083,"Beverages production, Alcoholic",c004,2514,Maize and products,optim
p083,"Beverages production, Alcoholic",c005,2515,Rye and products,optim
p083,"Beverages production, Alcoholic",c006,2516,Oats,optim
p083,"Beverages production, Alcoholic",c008,2518,Sorghum and products,optim
p083,"Beverages production, Alcoholic",c009,2520,"Cereals, Other",optim
p083,"Beverages production, Alcoholic",c010,2531,Potatoes and products,optim
p083,"Beverages production, Alcoholic",c012,2533,Sweet potatoes,optim
p083,"Beverages production, Alcoholic",c015,2536,Sugar cane,optim
p083,"Beverages production, Alcoholic",c016,2537,Sugar beet,optim
p083,"Beverages production, Alcoholic",c038,2615,Bananas,optim
p083,"Beverages production, Alcoholic",c039,2616,Plantains,optim
p083,"Beverages production, Alcoholic",c040,2617,Apples and products,optim
p083,"Beverages production, Alcoholic",c042,2619,Dates,optim
p083,"Beverages production, Alcoholic",c043,2620,Grapes and products (excl wine),optim
p083,"Beverages production, Alcoholic",c044,2625,"Fruits, Other",optim
p083,"Beverages production, Alcoholic",c065,2541,Sugar non-centrifugal,optim
p083,"Beverages production, Alcoholic",c066,2542,Sugar (Raw Equivalent),optim
p083,"Beverages production, Alcoholic",c067,2543,"Sweeteners, Other",optim
p083,"Beverages production, Alcoholic",c090,2655,Wine,optim
p083,"Beverages production, Alcoholic",c093,2658,"Beverages, Alcoholic",seedwaste
p084,"Alcohol production, Non-Food",c001,2807,Rice and products,ethanol
p084,"Alcohol production, Non-Food",c002,2511,Wheat and products,ethanol
p084,"Alcohol production, Non-Food",c003,2513,Barley and products,ethanol
p084,"Alcohol production, Non-Food",c004,2514,Maize and products,ethanol
p084,"Alcohol production, Non-Food",c005,2515,Rye and products,ethanol
p084,"Alcohol production, Non-Food",c008,2518,Sorghum and products,ethanol
p084,"Alcohol production, Non-Food",c009,2520,"Cereals, Other",ethanol
p084,"Alcohol production, Non-Food",c010,2531,Potatoes and products,ethanol
p084,"Alcohol production, Non-Food",c011,2532,Cassava and products,ethanol
p084,"Alcohol production, Non-Food",c015,2536,Sugar cane,ethanol
p084,"Alcohol production, Non-Food",c016,2537,Sugar beet,ethanol
p084,"Alcohol production, Non-Food",c040,2617,Apples and products,ethanol
p084,"Alcohol production, Non-Food",c043,2620,Grapes and products (excl wine),ethanol
p084,"Alcohol production, Non-Food",c044,2625,"Fruits, Other",ethanol
p084,"Alcohol production, Non-Food",c090,2655,Wine,ethanol
p084,"Alcohol production, Non-Food",c094,2659,"Alcohol, Non-Food",seedwaste
p085,Cattle husbandry,c001,2807,Rice and products,feed
p085,Cattle husbandry,c002,2511,Wheat and products,feed
p085,Cattle husbandry,c003,2513,Barley and products,feed
p085,Cattle husbandry,c004,2514,Maize and products,feed
p085,Cattle husbandry,c005,2515,Rye and products,feed
p085,Cattle husbandry,c006,2516,Oats,feed
p085,Cattle husbandry,c007,2517,Millet and products,feed
p085,Cattle husbandry,c008,2518,Sorghum and products,feed
p085,Cattle husbandry,c009,2520,"Cereals, Other",feed
p085,Cattle husbandry,c010,2531,Potatoes and products,feed
p085,Cattle husbandry,c011,2532,Cassava and products,feed
p085,Cattle husbandry,c012,2533,Sweet potatoes,feed
p085,Cattle husbandry,c013,2534,"Roots, Other",feed
p085,Cattle husbandry,c014,2535,Yams,feed
p085,Cattle husbandry,c015,2536,Sugar cane,feed
p085,Cattle husbandry,c016,2537,Sugar beet,feed
p085,Cattle husbandry,c017,2546,Beans,feed
p085,Cattle husbandry,c018,2547,Peas,feed
p085,Cattle husbandry,c019,2549,"Pulses, Other and products",feed
p085,Cattle husbandry,c021,2555,Soyabeans,feed
p085,Cattle husbandry,c022,2552,Groundnuts,feed
p085,Cattle husbandry,c023,2557,Sunflower seed,feed
p085,Cattle husbandry,c024,2558,Rape and Mustardseed,feed
p085,Cattle husbandry,c026,2560,Coconuts - Incl Copra,feed
