proc_code,proc,comm_code,item_code,item,type
p088,Goats husbandry,c119,2737,"Fats, Animals, Raw",feed
p088,Goats husbandry,c121,2745,Honey,feed
p089,Pigs farming,c001,2807,Rice and products,feed
p089,Pigs farming,c002,2511,Wheat and products,feed
p089,Pigs farming,c003,2513,Barley and products,feed
p089,Pigs farming,c004,2514,Maize and products,feed
p089,Pigs farming,c005,2515,Rye and products,feed
p089,Pigs farming,c006,2516,Oats,feed
p089,Pigs farming,c007,2517,Millet and products,feed
p089,Pigs farming,c008,2518,Sorghum and products,feed
p089,Pigs farming,c009,2520,"Cereals, Other",feed
p089,Pigs farming,c010,2531,Potatoes and products,feed
p089,Pigs farming,c011,2532,Cassava and products,feed
p089,Pigs farming,c012,2533,Sweet potatoes,feed
p089,Pigs farming,c013,2534,"Roots, Other",feed
p089,Pigs farming,c014,2535,Yams,feed
p089,Pigs farming,c015,2536,Sugar cane,feed
p089,Pigs farming,c016,2537,Sugar beet,feed
p089,Pigs farming,c017,2546,Beans,feed
p089,Pigs farming,c018,2547,Peas,feed
p089,Pigs farming,c019,2549,"Pulses, Other and products",feed
p089,Pigs farming,c021,2555,Soyabeans,feed
p089,Pigs farming,c022,2552,Groundnuts,feed
p089,Pigs farming,c023,2557,Sunflower seed,feed
p089,Pigs farming,c024,2558,Rape and Mustardseed,feed
p089,Pigs farming,c026,2560,Coconuts - Incl Copra,feed
p089,Pigs farming,c027,2561,Sesame seed,feed
p089,Pigs farming,c030,2570,"Oilcrops, Other",feed
p089,Pigs farming,c031,2601,Tomatoes and products,feed
p089,Pigs farming,c032,2602,Onions,feed
p089,Pigs farming,c033,2605,"Vegetables, Other",feed
p089,Pigs farming,c034,2611,"Oranges, Mandarines",feed
p089,Pigs farming,c038,2615,Bananas,feed
p089,Pigs farming,c039,2616,Plantains,feed
p089,Pigs farming,c040,2617,Apples and products,feed
p089,Pigs farming,c042,2619,Dates,feed
p089,Pigs farming,c044,2625,"Fruits, Other",feed
p089,Pigs farming,c046,2633,Cocoa Beans and products,feed
p089,Pigs farming,c051,2642,Cloves,feed
p089,Pigs farming,c061,2000,Fodder crops,feed
p089,Pigs farming,c063,2559,Cottonseed,feed
p089,Pigs farming,c065,2541,Sugar non-centrifugal,feed
p089,Pigs farming,c066,2542,Sugar (Raw Equivalent),feed
p089,Pigs farming,c067,2543,"Sweeteners, Other",feed
p089,Pigs farming,c068,2571,Soyabean Oil,feed
p089,Pigs farming,c071,2574,Rape and Mustard Oil,feed
p089,Pigs farming,c074,2577,Palm Oil,feed
p089,Pigs farming,c076,2579,Sesameseed Oil,feed
p089,Pigs farming,c077,2580,Olive Oil,feed
p089,Pigs farming,c080,2586,"Oilcrops Oil, Other",feed
p089,Pigs farming,c081,2590,Soyabean Cake,feed
p089,Pigs farming,c082,2591,Groundnut Cake,feed
p089,Pigs farming,c083,2592,Sunflowerseed Cake,feed
p089,Pigs farming,c084,2593,Rape and Mustard Cake,feed
p089,Pigs farming,c085,2594,Cottonseed Cake,feed
p089,Pigs farming,c086,2595,Palmkernel Cake,feed
p089,Pigs farming,c087,2596,Copra Cake,feed
p089,Pigs farming,c088,2597,Sesameseed Cake,feed
p089,Pigs farming,c089,2598,"Oilseed Cakes, Other",feed
p089,Pigs farming,c100,1034,Pigs,seedwaste
p089,Pigs farming,c109,2848,Milk - Excluding Butter,feed
p089,Pigs farming,c110,2740,"Butter, Ghee",feed
p089,Pigs farming,c111,2744,Eggs,feed
p089,Pigs farming,c113,2731,Bovine Meat,feed
p089,Pigs farming,c114,2732,Mutton & Goat Meat,feed
p089,Pigs farming,c117,2735,"Meat, Other",feed
p089,Pigs farming,c118,2736,"Offals, Edible",feed
p089,Pigs farming,c119,2737,"Fats, Animals, Raw",feed
p089,Pigs farming,c121,2745,Honey,feed
p090,Poultry Birds farming,c001,2807,Rice and products,feed
p090,Poultry Birds farming,c002,2511,Wheat and products,feed
p090,Poultry Birds farming,c003,2513,Barley and products,feed
p090,Poultry Birds farming,c004,2514,Maize and products,feed
p090,Poultry Birds farming,c005,2515,Rye and products,feed
p090,Poultry Birds farming,c006,2516,Oats,feed
p090,Poultry Birds farming,c007,2517,Millet and products,feed
p090,Poultry Birds farming,c008,2518,Sorghum and products,feed
p090,Poultry Birds farming,c009,2520,"Cereals, Other",feed
p090,Poultry Birds farming,c010,2531,Potatoes and products,feed
p090,Poultry Birds farming,c011,2532,Cassava and products,feed
p090,Poultry Birds farming,c012,2533,Sweet potatoes,feed
p090,Poultry Birds farming,c013,2534,"Roots, Other",feed
p090,Poultry Birds farming,c014,2535,Yams,feed
p090,Poultry Birds farming,c015,2536,Sugar cane,feed
p090,Poultry Birds farming,c016,2537,Sugar beet,feed
p090,Poultry Birds farming,c017,2546,Beans,feed
p090,Poultry Birds farming,c018,2547,Peas,feed
p090,Poultry Birds farming,c019,2549,"Pulses, Other and products",feed
p090,Poultry Birds farming,c021,2555,Soyabeans,feed
p090,Poultry Birds farming,c022,2552,Groundnuts,feed
p090,Poultry Birds farming,c023,2557,Sunflower seed,feed
p090,Poultry Birds farming,c024,2558,Rape and Mustardseed,feed
p090,Poultry Birds farming,c026,2560,Coconuts - Incl Copra,feed
p090,Poultry Birds farming,c027,2561,Sesame seed,feed
p090,Poultry Birds farming,c030,2570,"Oilcrops, Other",feed
p090,Poultry Birds farming,c031,2601,Tomatoes and products,feed
p090,Poultry Birds farming,c032,2602,Onions,feed
p090,Poultry Birds farming,c033,2605,"Vegetables, Other",feed
p090,Poultry Birds farming,c034,2611,"Oranges, Mandarines",feed
p090,Poultry Birds farming,c038,2615,Bananas,feed
p090,Poultry Birds farming,c039,2616,Plantains,feed
p090,Poultry Birds farming,c040,2617,Apples and products,feed
p090,Poultry Birds farming,c042,2619,Dates,feed
p090,Poultry Birds farming,c044,2625,"Fruits, Other",feed
p090,Poultry Birds farming,c046,2633,Cocoa Beans and products,feed
p090,Poultry Birds farming,c051,2642,Cloves,feed
p090,Poultry Birds farming,c063,2559,Cottonseed,feed
p090,Poultry Birds farming,c065,2541,Sugar non-centrifugal,feed
p090,Poultry Birds farming,c066,2542,Sugar (Raw Equivalent),feed
p090,Poultry Birds farming,c067,2543,"Sweeteners, Other",feed
p090,Poultry Birds farming,c068,2571,Soyabean Oil,feed
p090,Poultry Birds farming,c071,2574,Rape and Mustard Oil,feed
p090,Poultry Birds farming,c074,2577,Palm Oil,feed
p090,Poultry Birds farming,c076,2579,Sesameseed Oil,feed
p090,Poultry Birds farming,c077,2580,Olive Oil,feed
p090,Poultry Birds farming,c080,2586,"Oilcrops Oil, Other",feed
p090,Poultry Birds farming,c081,2590,Soyabean Cake,feed
p090,Poultry Birds farming,c082,2591,Groundnut Cake,feed
p090,Poultry Birds farming,c083,2592,Sunflowerseed Cake,feed
p090,Poultry Birds farming,c084,2593,Rape and Mustard Cake,feed
p090,Poultry Birds farming,c085,2594,Cottonseed Cake,feed
p090,Poultry Birds farming,c086,2595,Palmkernel Cake,feed
p090,Poultry Birds farming,c087,2596,Copra Cake,feed
p090,Poultry Birds farming,c088,2597,Sesameseed Cake,feed
p090,Poultry Birds farming,c089,2598,"Oilseed Cakes, Other",feed
p090,Poultry Birds farming,c101,2029,Poultry Birds,seedwaste
p090,Poultry Birds farming,c109,2848,Milk - Excluding Butter,feed
p090,Poultry Birds farming,c110,2740,"Butter, Ghee",feed
p090,Poultry Birds farming,c111,2744,Eggs,seedwaste
p090,Poultry Birds farming,c111,2744,Eggs,feed
p090,Poultry Birds farming,c113,2731,Bovine Meat,feed
p090,Poultry Birds farming,c114,2732,Mutton & Goat Meat,feed
p090,Poultry Birds farming,c117,2735,"Meat, Other",feed
p090,Poultry Birds farming,c118,2736,"Offals, Edible",feed
p090,Poultry Birds farming,c119,2737,"Fats, Animals, Raw",feed
p090,Poultry Birds farming,c121,2745,Honey,feed
p091,Horses husbandry,c001,2807,Rice and products,feed
p091,Horses husbandry,c002,2511,Wheat and products,feed
p091,Horses husbandry,c003,2513,Barley and products,feed
p091,Horses husbandry,c004,2514,Maize and products,feed
p091,Horses husbandry,c005,2515,Rye and products,feed
p091,Horses husbandry,c006,2516,Oats,feed
p091,Horses husbandry,c007,2517,Millet and products,feed
p091,Horses husbandry,c008,2518,Sorghum and products,feed
p091,Horses husbandry,c009,2520,"Cereals, Other",feed
p091,Horses husbandry,c010,2531,Potatoes and products,feed
p091,Horses husbandry,c011,2532,Cassava and products,feed
p091,Horses husbandry,c012,2533,Sweet potatoes,feed
p091,Horses husbandry,c013,2534,"Roots, Other",feed
p091,Horses husbandry,c014,2535,Yams,feed
p091,Horses husbandry,c015,2536,Sugar cane,feed
p091,Horses husbandry,c016,2537,Sugar beet,feed
p091,Horses husbandry,c017,2546,Beans,feed
p091,Horses husbandry,c018,2547,Peas,feed
p091,Horses husbandry,c019,2549,"Pulses, Other and products",feed
p091,Horses husbandry,c021,2555,Soyabeans,feed
p091,Horses husbandry,c022,2552,Groundnuts,feed
p091,Horses husbandry,c023,2557,Sunflower seed,feed
p091,Horses husbandry,c024,2558,Rape and Mustardseed,feed
p091,Horses husbandry,c026,2560,Coconuts - Incl Copra,feed
p091,Horses husbandry,c027,2561,Sesame seed,feed
p091,Horses husbandry,c030,2570,"Oilcrops, Other",feed
p091,Horses husbandry,c031,2601,Tomatoes and products,feed
p091,Horses husbandry,c032,2602,Onions,feed
p091,Horses husbandry,c033,2605,"Vegetables, Other",feed
p091,Horses husbandry,c034,2611,"Oranges, Mandarines",feed
p091,Horses husbandry,c038,2615,Bananas,feed
p091,Horses husbandry,c039,2616,Plantains,feed
p091,Horses husbandry,c040,2617,Apples and products,feed
p091,Horses husbandry,c042,2619,Dates,feed
p091,Horses husbandry,c044,2625,"Fruits, Other",feed
p091,Horses husbandry,c046,2633,Cocoa Beans and products,feed
p091,Horses husbandry,c051,2642,Cloves,feed
p091,Horses husbandry,c061,2000,Fodder crops,feed
p091,Horses husbandry,c062,2001,Grazing,feed
p091,Horses husbandry,c063,2559,Cottonseed,feed
p091,Horses husbandry,c065,2541,Sugar non-centrifugal,feed
p091,Horses husbandry,c066,2542,Sugar (Raw Equivalent),feed
p091,Horses husbandry,c067,2543,"Sweeteners, Other",feed
p091,Horses husbandry,c068,2571,Soyabean Oil,feed
p091,Horses husbandry,c071,2574,Rape and Mustard Oil,feed
p091,Horses husbandry,c074,2577,Palm Oil,feed
p091,Horses husbandry,c076,2579,Sesameseed Oil,feed
p091,Horses husbandry,c077,2580,Olive Oil,feed
p091,Horses husbandry,c080,2586,"Oilcrops Oil, Other",feed
p091,Horses husbandry,c081,2590,Soyabean Cake,feed
p091,Horses husbandry,c082,2591,Groundnut Cake,feed
p091,Horses husbandry,c083,2592,Sunflowerseed Cake,feed
p091,Horses husbandry,c084,2593,Rape and Mustard Cake,feed
p091,Horses husbandry,c085,2594,Cottonseed Cake,feed
p091,Horses husbandry,c086,2595,Palmkernel Cake,feed
p091,Horses husbandry,c087,2596,Copra Cake,feed
p091,Horses husbandry,c088,2597,Sesameseed Cake,feed
p091,Horses husbandry,c089,2598,"Oilseed Cakes, Other",feed
p091,Horses husbandry,c102,1096,Horses,seedwaste
p091,Horses husbandry,c109,2848,Milk - Excluding Butter,feed
p091,Horses husbandry,c110,2740,"Butter, Ghee",feed
p091,Horses husbandry,c111,2744,Eggs,feed
p091,Horses husbandry,c113,2731,Bovine Meat,feed
p091,Horses husbandry,c114,2732,Mutton & Goat Meat,feed
p091,Horses husbandry,c117,2735,"Meat, Other",feed
p091,Horses husbandry,c118,2736,"Offals, Edible",feed
p091,Horses husbandry,c119,2737,"Fats, Animals, Raw",feed
p091,Horses husbandry,c121,2745,Honey,feed
p092,Asses husbandry,c001,2807,Rice and products,feed
p092,Asses husbandry,c002,2511,Wheat and products,feed
p092,Asses husbandry,c003,2513,Barley and products,feed
p092,Asses husbandry,c004,2514,Maize and products,feed
p092,Asses husbandry,c005,2515,Rye and products,feed
p092,Asses husbandry,c006,2516,Oats,feed
p092,Asses husbandry,c007,2517,Millet and products,feed
p092,Asses husbandry,c008,2518,Sorghum and products,feed
p092,Asses husbandry,c009,2520,"Cereals, Other",feed
p092,Asses husbandry,c010,2531,Potatoes and products,feed
p092,Asses husbandry,c011,2532,Cassava and products,feed
p092,Asses husbandry,c012,2533,Sweet potatoes,feed
p092,Asses husbandry,c013,2534,"Roots, Other",feed
p092,Asses husbandry,c014,2535,Yams,feed
p092,Asses husbandry,c015,2536,Sugar cane,feed
p092,Asses husbandry,c016,2537,Sugar beet,feed
p092,Asses husbandry,c017,2546,Beans,feed
p092,Asses husbandry,c018,2547,Peas,feed
p092,Asses husbandry,c019,2549,"Pulses, Other and products",feed
p092,Asses husbandry,c021,2555,Soyabeans,feed
p092,Asses husbandry,c022,2552,Groundnuts,feed
p092,Asses husbandry,c023,2557,Sunflower seed,feed
p092,Asses husbandry,c024,2558,Rape and Mustardseed,feed
p092,Asses husbandry,c026,2560,Coconuts - Incl Copra,feed
p092,Asses husbandry,c027,2561,Sesame seed,feed
p092,Asses husbandry,c030,2570,"Oilcrops, Other",feed
p092,Asses husbandry,c031,2601,Tomatoes and products,feed
p092,Asses husbandry,c032,2602,Onions,feed
p092,Asses husbandry,c033,2605,"Vegetables, Other",feed
p092,Asses husbandry,c034,2611,"Oranges, Mandarines",feed
p092,Asses husbandry,c038,2615,Bananas,feed
p092,Asses husbandry,c039,2616,Plantains,feed
p092,Asses husbandry,c040,2617,Apples and products,feed
p092,Asses husbandry,c042,2619,Dates,feed
p092,Asses husbandry,c044,2625,"Fruits, Other",feed
p092,Asses husbandry,c046,2633,Cocoa Beans and products,feed
p092,Asses husbandry,c051,2642,Cloves,feed
p092,Asses husbandry,c061,2000,Fodder crops,feed
p092,Asses husbandry,c062,2001,Grazing,feed
p092,Asses husbandry,c063,2559,Cottonseed,feed
p092,Asses husbandry,c065,2541,Sugar non-centrifugal,feed
p092,Asses husbandry,c066,2542,Sugar (Raw Equivalent),feed
p092,Asses husbandry,c067,2543,"Sweeteners, Other",feed
p092,Asses husbandry,c068,2571,Soyabean Oil,feed
p092,Asses husbandry,c071,2574,Rape and Mustard Oil,feed
p092,Asses husbandry,c074,2577,Palm Oil,feed
p092,Asses husbandry,c076,2579,Sesameseed Oil,feed
p092,Asses husbandry,c077,2580,Olive Oil,feed
p092,Asses husbandry,c080,2586,"Oilcrops Oil, Other",feed
p092,Asses husbandry,c081,2590,Soyabean Cake,feed
p092,Asses husbandry,c082,2591,Groundnut Cake,feed
p092,Asses husbandry,c083,2592,Sunflowerseed Cake,feed
p092,Asses husbandry,c084,2593,Rape and Mustard Cake,feed
p092,Asses husbandry,c085,2594,Cottonseed Cake,feed
p092,Asses husbandry,c086,2595,Palmkernel Cake,feed
p092,Asses husbandry,c087,2596,Copra Cake,feed
p092,Asses husbandry,c088,2597,Sesameseed Cake,feed
p092,Asses husbandry,c089,2598,"Oilseed Cakes, Other",feed
p092,Asses husbandry,c103,1107,Asses,seedwaste
p092,Asses husbandry,c109,2848,Milk - Excluding Butter,feed
p092,Asses husbandry,c110,2740,"Butter, Ghee",feed
p092,Asses husbandry,c111,2744,Eggs,feed
p092,Asses husbandry,c113,2731,Bovine Meat,feed
p092,Asses husbandry,c114,2732,Mutton & Goat Meat,feed
p092,Asses husbandry,c117,2735,"Meat, Other",feed
p092,Asses husbandry,c118,2736,"Offals, Edible",feed
p092,Asses husbandry,c119,2737,"Fats, Animals, Raw",feed
p092,Asses husbandry,c121,2745,Honey,feed
p093,Mules husbandry,c001,2807,Rice and products,feed
p093,Mules husbandry,c002,2511,Wheat and products,feed
p093,Mules husbandry,c003,2513,Barley and products,feed
p093,Mules husbandry,c004,2514,Maize and products,feed
p093,Mules husbandry,c005,2515,Rye and products,feed
p093,Mules husbandry,c006,2516,Oats,feed
p093,Mules husbandry,c007,2517,Millet and products,feed
p093,Mules husbandry,c008,2518,Sorghum and products,feed
p093,Mules husbandry,c009,2520,"Cereals, Other",feed
p093,Mules husbandry,c010,2531,Potatoes and products,feed
p093,Mules husbandry,c011,2532,Cassava and products,feed
p093,Mules husbandry,c012,2533,Sweet potatoes,feed
p093,Mules husbandry,c013,2534,"Roots, Other",feed
p093,Mules husbandry,c014,2535,Yams,feed
p093,Mules husbandry,c015,2536,Sugar cane,feed
p093,Mules husbandry,c016,2537,Sugar beet,feed
p093,Mules husbandry,c017,2546,Beans,feed
p093,Mules husbandry,c018,2547,Peas,feed
p093,Mules husbandry,c019,2549,"Pulses, Other and products",feed
p093,Mules husbandry,c021,2555,Soyabeans,feed
p093,Mules husbandry,c022,2552,Groundnuts,feed
p093,Mules husbandry,c023,2557,Sunflower seed,feed
p093,Mules husbandry,c024,2558,Rape and Mustardseed,feed
p093,Mules husbandry,c026,2560,Coconuts - Incl Copra,feed
p093,Mules husbandry,c027,2561,Sesame seed,feed
p093,Mules husbandry,c030,2570,"Oilcrops, Other",feed
p093,Mules husbandry,c031,2601,Tomatoes and products,feed
p093,Mules husbandry,c032,2602,Onions,feed
p093,Mules husbandry,c033,2605,"Vegetables, Other",feed
p093,Mules husbandry,c034,2611,"Oranges, Mandarines",feed
p093,Mules husbandry,c038,2615,Bananas,feed
p093,Mules husbandry,c039,2616,Plantains,feed
p093,Mules husbandry,c040,2617,Apples and products,feed
p093,Mules husbandry,c042,2619,Dates,feed
p093,Mules husbandry,c044,2625,"Fruits, Other",feed
p093,Mules husbandry,c046,2633,Cocoa Beans and products,feed
p093,Mules husbandry,c051,2642,Cloves,feed
p093,Mules husbandry,c061,2000,Fodder crops,feed
p093,Mules husbandry,c062,2001,Grazing,feed
p093,Mules husbandry,c063,2559,Cottonseed,feed
p093,Mules husbandry,c065,2541,Sugar non-centrifugal,feed
p093,Mules husbandry,c066,2542,Sugar (Raw Equivalent),feed
p093,Mules husbandry,c067,2543,"Sweeteners, Other",feed
p093,Mules husbandry,c068,2571,Soyabean Oil,feed
p093,Mules husbandry,c071,2574,Rape and Mustard Oil,feed
p093,Mules husbandry,c074,2577,Palm Oil,feed
p093,Mules husbandry,c076,2579,Sesameseed Oil,feed
p093,Mules husbandry,c077,2580,Olive Oil,feed
p093,Mules husbandry,c080,2586,"Oilcrops Oil, Other",feed
p093,Mules husbandry,c081,2590,Soyabean Cake,feed
p093,Mules husbandry,c082,2591,Groundnut Cake,feed
p093,Mules husbandry,c083,2592,Sunflowerseed Cake,feed
p093,Mules husbandry,c084,2593,Rape and Mustard Cake,feed
p093,Mules husbandry,c085,2594,Cottonseed Cake,feed
p093,Mules husbandry,c086,2595,Palmkernel Cake,feed
p093,Mules husbandry,c087,2596,Copra Cake,feed
p093,Mules husbandry,c088,2597,Sesameseed Cake,feed
p093,Mules husbandry,c089,2598,"Oilseed Cakes, Other",feed
p093,Mules husbandry,c104,1110,Mules,seedwaste
p093,Mules husbandry,c109,2848,Milk - Excluding Butter,feed
p093,Mules husbandry,c110,2740,"Butter, Ghee",feed
p093,Mules husbandry,c111,2744,Eggs,feed
p093,Mules husbandry,c113,2731,Bovine Meat,feed
p093,Mules husbandry,c114,2732,Mutton & Goat Meat,feed
p093,Mules husbandry,c117,2735,"Meat, Other",feed
p093,Mules husbandry,c118,2736,"Offals, Edible",feed
p093,Mules husbandry,c119,2737,"Fats, Animals, Raw",feed
p093,Mules husbandry,c121,2745,Honey,feed
p094,Camels husbandry,c001,2807,Rice and products,feed
p094,Camels husbandry,c002,2511,Wheat and products,feed
p094,Camels husbandry,c003,2513,Barley and products,feed
p094,Camels husbandry,c004,2514,Maize and products,feed
p094,Camels husbandry,c005,2515,Rye and products,feed
p094,Camels husbandry,c006,2516,Oats,feed
p094,Camels husbandry,c007,2517,Millet and products,feed
p094,Camels husbandry,c008,2518,Sorghum and products,feed
p094,Camels husbandry,c009,2520,"Cereals, Other",feed
p094,Camels husbandry,c010,2531,Potatoes and products,feed
p094,Camels husbandry,c011,2532,Cassava and products,feed
p094,Camels husbandry,c012,2533,Sweet potatoes,feed
p094,Camels husbandry,c013,2534,"Roots, Other",feed
p094,Camels husbandry,c014,2535,Yams,feed
p094,Camels husbandry,c015,2536,Sugar cane,feed
p094,Camels husbandry,c016,2537,Sugar beet,feed
p094,Camels husbandry,c017,2546,Beans,feed
p094,Camels husbandry,c018,2547,Peas,feed
p094,Camels husbandry,c019,2549,"Pulses, Other and products",feed
p094,Camels husbandry,c021,2555,Soyabeans,feed
p094,Camels husbandry,c022,2552,Groundnuts,feed
p094,Camels husbandry,c023,2557,Sunflower seed,feed
p094,Camels husbandry,c024,2558,Rape and Mustardseed,feed
p094,Camels husbandry,c026,2560,Coconuts - Incl Copra,feed
p094,Camels husbandry,c027,2561,Sesame seed,feed
p094,Camels husbandry,c030,2570,"Oilcrops, Other",feed
p094,Camels husbandry,c031,2601,Tomatoes and products,feed
p094,Camels husbandry,c032,2602,Onions,feed
p094,Camels husbandry,c033,2605,"Vegetables, Other",feed
p094,Camels husbandry,c034,2611,"Oranges, Mandarines",feed
p094,Camels husbandry,c038,2615,Bananas,feed
p094,Camels husbandry,c039,2616,Plantains,feed
p094,Camels husbandry,c040,2617,Apples and products,feed
p094,Camels husbandry,c042,2619,Dates,feed
p094,Camels husbandry,c044,2625,"Fruits, Other",feed
p094,Camels husbandry,c046,2633,Cocoa Beans and products,feed
p094,Camels husbandry,c051,2642,Cloves,feed
p094,Camels husbandry,c061,2000,Fodder crops,feed
p094,Camels husbandry,c062,2001,Grazing,feed
p094,Camels husbandry,c063,2559,Cottonseed,feed
p094,Camels husbandry,c065,2541,Sugar non-centrifugal,feed
p094,Camels husbandry,c066,2542,Sugar (Raw Equivalent),feed
p094,Camels husbandry,c067,2543,"Sweeteners, Other",feed
p094,Camels husbandry,c068,2571,Soyabean Oil,feed
p094,Camels husbandry,c071,2574,Rape and Mustard Oil,feed
p094,Camels husbandry,c074,2577,Palm Oil,feed
p094,Camels husbandry,c076,2579,Sesameseed Oil,feed
p094,Camels husbandry,c077,2580,Olive Oil,feed
p094,Camels husbandry,c080,2586,"Oilcrops Oil, Other",feed
p094,Camels husbandry,c081,2590,Soyabean Cake,feed
p094,Camels husbandry,c082,2591,Groundnut Cake,feed
p094,Camels husbandry,c083,2592,Sunflowerseed Cake,feed
p094,Camels husbandry,c084,2593,Rape and Mustard Cake,feed
p094,Camels husbandry,c085,2594,Cottonseed Cake,feed
p094,Camels husbandry,c086,2595,Palmkernel Cake,feed
p094,Camels husbandry,c087,2596,Copra Cake,feed
p094,Camels husbandry,c088,2597,Sesameseed Cake,feed
p094,Camels husbandry,c089,2598,"Oilseed Cakes, Other",feed
p094,Camels husbandry,c105,1126,Camels,seedwaste
p094,Camels husbandry,c109,2848,Milk - Excluding Butter,feed
p094,Camels husbandry,c110,2740,"Butter, Ghee",feed
p094,Camels husbandry,c111,2744,Eggs,feed
p094,Camels husbandry,c113,2731,Bovine Meat,feed
p094,Camels husbandry,c114,2732,Mutton & Goat Meat,feed
p094,Camels husbandry,c117,2735,"Meat, Other",feed
p094,Camels husbandry,c118,2736,"Offals, Edible",feed
p094,Camels husbandry,c119,2737,"Fats, Animals, Raw",feed
p094,Camels husbandry,c121,2745,Honey,feed
p095,"Camelids husbandry, other",c001,2807,Rice and products,feed
p095,"Camelids husbandry, other",c002,2511,Wheat and products,feed
p095,"Camelids husbandry, other",c003,2513,Barley and products,feed
p095,"Camelids husbandry, other",c004,2514,Maize and products,feed
p095,"Camelids husbandry, other",c005,2515,Rye and products,feed
p095,"Camelids husbandry, other",c006,2516,Oats,feed
p095,"Camelids husbandry, other",c007,2517,Millet and products,feed
p095,"Camelids husbandry, other",c008,2518,Sorghum and products,feed
p095,"Camelids husbandry, other",c009,2520,"Cereals, Other",feed
p095,"Camelids husbandry, other",c010,2531,Potatoes and products,feed
p095,"Camelids husbandry, other",c011,2532,Cassava and products,feed
p095,"Camelids husbandry, other",c012,2533,Sweet potatoes,feed
p095,"Camelids husbandry, other",c013,2534,"Roots, Other",feed
p095,"Camelids husbandry, other",c014,2535,Yams,feed
p095,"Camelids husbandry, other",c015,2536,Sugar cane,feed
p095,"Camelids husbandry, other",c016,2537,Sugar beet,feed
p095,"Camelids husbandry, other",c017,2546,Beans,feed
p095,"Camelids husbandry, other",c018,2547,Peas,feed
p095,"Camelids husbandry, other",c019,2549,"Pulses, Other and products",feed
p095,"Camelids husbandry, other",c021,2555,Soyabeans,feed
p095,"Camelids husbandry, other",c022,2552,Groundnuts,feed
p095,"Camelids husbandry, other",c023,2557,Sunflower seed,feed
p095,"Camelids husbandry, other",c024,2558,Rape and Mustardseed,feed
p095,"Camelids husbandry, other",c026,2560,Coconuts - Incl Copra,feed
p095,"Camelids husbandry, other",c027,2561,Sesame seed,feed
p095,"Camelids husbandry, other",c030,2570,"Oilcrops, Other",feed
p095,"Camelids husbandry, other",c031,2601,Tomatoes and products,feed
p095,"Camelids husbandry, other",c032,2602,Onions,feed
p095,"Camelids husbandry, other",c033,2605,"Vegetables, Other",feed
p095,"Camelids husbandry, other",c034,2611,"Oranges, Mandarines",feed
p095,"Camelids husbandry, other",c038,2615,Bananas,feed
p095,"Camelids husbandry, other",c039,2616,Plantains,feed
p095,"Camelids husbandry, other",c040,2617,Apples and products,feed
p095,"Camelids husbandry, other",c042,2619,Dates,feed
p095,"Camelids husbandry, other",c044,2625,"Fruits, Other",feed
p095,"Camelids husbandry, other",c046,2633,Cocoa Beans and products,feed
p095,"Camelids husbandry, other",c051,2642,Cloves,feed
p095,"Camelids husbandry, other",c061,2000,Fodder crops,feed
p095,"Camelids husbandry, other",c062,2001,Grazing,feed
p095,"Camelids husbandry, other",c063,2559,Cottonseed,feed
p095,"Camelids husbandry, other",c065,2541,Sugar non-centrifugal,feed
p095,"Camelids husbandry, other",c066,2542,Sugar (Raw Equivalent),feed
p095,"Camelids husbandry, other",c067,2543,"Sweeteners, Other",feed
p095,"Camelids husbandry, other",c068,2571,Soyabean Oil,feed
p095,"Camelids husbandry, other",c071,2574,Rape and Mustard Oil,feed
p095,"Camelids husbandry, other",c074,2577,Palm Oil,feed
p095,"Camelids husbandry, other",c076,2579,Sesameseed Oil,feed
p095,"Camelids husbandry, other",c077,2580,Olive Oil,feed
p095,"Camelids husbandry, other",c080,2586,"Oilcrops Oil, Other",feed
p095,"Camelids husbandry, other",c081,2590,Soyabean Cake,feed
p095,"Camelids husbandry, other",c082,2591,Groundnut Cake,feed
p095,"Camelids husbandry, other",c083,2592,Sunflowerseed Cake,feed
p095,"Camelids husbandry, other",c084,2593,Rape and Mustard Cake,feed
p095,"Camelids husbandry, other",c085,2594,Cottonseed Cake,feed
p095,"Camelids husbandry, other",c086,2595,Palmkernel Cake,feed
p095,"Camelids husbandry, other",c087,2596,Copra Cake,feed
p095,"Camelids husbandry, other",c088,2597,Sesameseed Cake,feed
p095,"Camelids husbandry, other",c089,2598,"Oilseed Cakes, Other",feed
p095,"Camelids husbandry, other",c106,1157,"Camelids, other",seedwaste
p095,"Camelids husbandry, other",c109,2848,Milk - Excluding Butter,feed
p095,"Camelids husbandry, other",c110,2740,"Butter, Ghee",feed
p095,"Camelids husbandry, other",c111,2744,Eggs,feed
p095,"Camelids husbandry, other",c113,2731,Bovine Meat,feed
p095,"Camelids husbandry, other",c114,2732,Mutton & Goat Meat,feed
p095,"Camelids husbandry, other",c117,2735,"Meat, Other",feed
p095,"Camelids husbandry, other",c118,2736,"Offals, Edible",feed
p095,"Camelids husbandry, other",c119,2737,"Fats, Animals, Raw",feed
p095,"Camelids husbandry, other",c121,2745,Honey,feed
p096,Rabbits husbandry,c001,2807,Rice and products,feed
p096,Rabbits husbandry,c002,2511,Wheat and products,feed
p096,Rabbits husbandry,c003,2513,Barley and products,feed
p096,Rabbits husbandry,c004,2514,Maize and products,feed
