comm_code,item_code,item,unit,group,moisture,feedtype,comm_group
c094,2659,"Alcohol, Non-Food",tonnes,Crop products,0.2,residues,Ethanol
c095,2661,Cotton lint,tonnes,Crop products,0.1,crops,Fibre crops
c096,866,Cattle,1000 Head,Livestock,0,,Live animals
c097,946,Buffaloes,1000 Head,Livestock,0,,Live animals
c098,976,Sheep,1000 Head,Livestock,0,,Live animals
c099,1016,Goats,1000 Head,Livestock,0,,Live animals
c100,1034,Pigs,1000 Head,Livestock,0,,Live animals
c101,2029,Poultry Birds,1000 Head,Livestock,0,,Live animals
c102,1096,Horses,1000 Head,Livestock,0,,Live animals
c103,1107,Asses,1000 Head,Livestock,0,,Live animals
c104,1110,Mules,1000 Head,Livestock,0,,Live animals
c105,1126,Camels,1000 Head,Livestock,0,,Live animals
c106,1157,"Camelids, other",1000 Head,Livestock,0,,Live animals
c107,1140,Rabbits and hares,1000 Head,Livestock,0,,Live animals
c108,1150,"Rodents, other",1000 Head,Livestock,0,,Live animals
c109,2848,Milk - Excluding Butter,tonnes,Livestock products,0.875,animals,Milk
c110,2740,"Butter, Ghee",tonnes,Livestock products,0.15,animals,Milk
c111,2744,Eggs,tonnes,Livestock products,0.744,animals,Eggs
c112,2746,Wool (Clean Eq.),tonnes,Livestock products,0,animals,"Hides, skins, wool"
c113,2731,Bovine Meat,tonnes,Livestock products,0.65,animals,Meat
c114,2732,Mutton & Goat Meat,tonnes,Livestock products,0.6,animals,Meat
c115,2733,Pigmeat,tonnes,Livestock products,0.6,animals,Meat
c116,2734,Poultry Meat,tonnes,Livestock products,0.6,animals,Meat
c117,2735,"Meat, Other",tonnes,Livestock products,0.65,animals,Meat
c118,2736,"Offals, Edible",tonnes,Livestock products,0.65,animals,Meat
c119,2737,"Fats, Animals, Raw",tonnes,Livestock products,0.01,animals,Animal fats
c120,2748,Hides and skins,tonnes,Livestock products,0,animals,"Hides, skins, wool"
c121,2745,Honey,tonnes,Livestock products,0.17,animals,Honey
c122,2747,Silk,tonnes,Livestock products,0,animals,"Hides, skins, wool"
c123,2960,"Fish, Seafood",tonnes,Fish,0.7,animals,Fish
