Stressor,Compartment,Subcompartment_1,Subcompartment_2,Unit,Description,Sources,GWP
FD_EQ_eve_terrestrial_climate,Functional Diversity,terrestrial,species evenness,PDF_FDeve,Terrestrial biodiversity loss due to disruptions in species evenness caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_freshwater,Functional Diversity,freshwater,species richness,PDF_FDric,Total freshwater biodiversity loss due to disruptions in species richness. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_freshwater_climate,Functional Diversity,freshwater,species richness,PDF_FDric,Freshwater biodiversity loss due to disruptions in species richness caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_freshwater_eutrophication,Functional Diversity,freshwater,species richness,PDF_FDric,Freshwater biodiversity loss due to disruptions in species richness caused by eutrophication. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_marine,Functional Diversity,marine,species richness,PDF_FDric,Total marine biodiversity loss due to disruptions in species richness. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_marine_climate,Functional Diversity,marine,species richness,PDF_FDric,Marine biodiversity loss due to disruptions in species richness caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_marine_eutrophication,Functional Diversity,marine,species richness,PDF_FDric,Marine biodiversity loss due to disruptions in species richness caused by eutrophication. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_terrestrial,Functional Diversity,terrestrial,species richness,PDF_FDric,Total terrestrial biodiversity loss due to disruptions in species richness. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_terrestrial_climate,Functional Diversity,terrestrial,species richness,PDF_FDric,Terrestrial biodiversity loss due to disruptions in species evenness caused by climate change. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
LCIM_EQ_freshwater,LC-Impact,freshwater,"",global PDF,Total freshwater biodiversity loss in global PDF (species richness). Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202729,
LCIM_EQ_freshwater_climate,LC-Impact,freshwater,"",global PDF,Freshwater biodiversity loss in global PDF (species richness) that occurs due to climate change. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202730,
LCIM_EQ_freshwater_eutrophication,LC-Impact,freshwater,"",global PDF,Freshwater biodiversity loss in global PDF (species richness) that occurs due to eutrophication. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202731,
LCIM_EQ_freshwater_water_use,LC-Impact,freshwater,"",global PDF,Freshwater biodiversity loss in global PDF (species richness) that occurs due to blue water use. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202732,
LCIM_EQ_marine,LC-Impact,marine,"",global PDF,Total marine biodiversity loss in global PDF (species richness). Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202733,
LCIM_EQ_marine_climate,LC-Impact,marine,"",global PDF,Marine biodiversity loss in global PDF (species richness) that occurs due to climate change. Calculated using an average approach. Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,https://doi.org/10.5281/zenodo.19202734,
