"","com_1.1","item_code_1.1","item_1.1","com_1.2","item_code_1.2","item_1.2"
"93","c093",2657,"Beverages, Fermented","c092",2657,"Beverages, Fermented"
"94","c094",2658,"Beverages, Alcoholic","c093",2658,"Beverages, Alcoholic"
"95","c095",2659,"Alcohol, Non-Food","c094",2659,"Alcohol, Non-Food"
"96","c096",2661,"Cotton lint","c095",2661,"Cotton lint"
"97","c097",866,"Cattle","c096",866,"Cattle"
"98","c098",946,"Buffaloes","c097",946,"Buffaloes"
"99","c099",976,"Sheep","c098",976,"Sheep"
"100","c100",1016,"Goats","c099",1016,"Goats"
"101","c101",1034,"Pigs","c100",1034,"Pigs"
"102","c102",2029,"Poultry Birds","c101",2029,"Poultry Birds"
"103","c103",1096,"Horses","c102",1096,"Horses"
"104","c104",1107,"Asses","c103",1107,"Asses"
"105","c105",1110,"Mules","c104",1110,"Mules"
"106","c106",1126,"Camels","c105",1126,"Camels"
"107","c107",1157,"Camelids, other","c106",1157,"Camelids, other"
"108","c108",1140,"Rabbits and hares","c107",1140,"Rabbits and hares"
"109","c109",1150,"Rodents, other","c108",1150,"Rodents, other"
"110","c110",2848,"Milk - Excluding Butter","c109",2848,"Milk - Excluding Butter"
"111","c111",2740,"Butter, Ghee","c110",2740,"Butter, Ghee"
"112","c112",2744,"Eggs","c111",2744,"Eggs"
"113","c113",2746,"Wool (Clean Eq.)","c112",2746,"Wool (Clean Eq.)"
"114","c114",2731,"Bovine Meat","c113",2731,"Bovine Meat"
"115","c115",2732,"Mutton & Goat Meat","c114",2732,"Mutton & Goat Meat"
"116","c116",2733,"Pigmeat","c115",2733,"Pigmeat"
"117","c117",2734,"Poultry Meat","c116",2734,"Poultry Meat"
"118","c118",2735,"Meat, Other","c117",2735,"Meat, Other"
"119","c119",2736,"Offals, Edible","c118",2736,"Offals, Edible"
"120","c120",2737,"Fats, Animals, Raw","c119",2737,"Fats, Animals, Raw"
"121","c121",2748,"Hides and skins","c120",2748,"Hides and skins"
"122","c122",2749,"Meat Meal",NA,NA,NA
"123","c123",2745,"Honey","c121",2745,"Honey"
"124","c124",2747,"Silk","c122",2747,"Silk"
"125","c125",2960,"Fish, Seafood","c123",2960,"Fish, Seafood"
